question,choice_A,choice_B,choice_C,choice_D,answer,category,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
What is taxonomy based on chromosomal number and characteristics called?, Cytotaxonomy, Chemotaxonomy, Serotaxonomy, Molecular taxonomy,A,,val,-4.4307708740234375,-0.06240522357779489,-13.0,-12.625,-10.625,-9.421875,-8.368749618530273,-7.625,-6.785714149475098,-6.04443359375,-5.404947757720947,-4.4303975105285645,-4.96875,-4.28125,-3.7083332538604736,-3.150390625,-2.635937452316284,-2.1678059101104736,-1.8279855251312256,-1.5726318359375,-1.3573133945465088,-1.0011540651321411
A compact object with __________ could indicate the presence of a black hole in a binary system.," a hot, x-ray emitting accretion disk.", zero mass and no emitted light., repeated nova bursts., None of the other choices,A,,val,-2.8917181491851807,-0.03442521606172834,-11.8125,-9.322916984558105,-7.96875,-6.465401649475098,-5.333333492279053,-4.92578125,-4.246419429779053,-3.694056987762451,-3.25201416015625,-2.8910226821899414,-4.5,-2.671875,-1.9580078125,-1.3833705186843872,-1.0047743320465088,-0.8636718988418579,-0.6402994990348816,-0.4709821343421936,-0.32373046875,-0.1929253488779068
At what point should you cease the preparation of a sterile field for an operating room surgical procedure?, When you have completely finished the field. You can’t stop the set up until it is all done., When you have accidentally poured a sterile liquid into a container that was placed on the sterile field., When you have put a sterile item only 1 inch and not 2 inches from the edge of the sterile field., When you turn your upper body only away from the field because the surgeon calls your name.,D,,val,-2.766533851623535,-0.03073926501803928,-7.46875,-7.0,-6.109375,-5.185267925262451,-4.59375,-4.354687690734863,-3.912109375,-3.4673550128936768,-3.0885009765625,-2.768446207046509,-1.8515625,-1.0833333730697632,-0.6876465082168579,-0.4474399983882904,-0.2905002236366272,-0.22727051377296448,-0.1119181290268898,-0.01055036298930645,0.0933074951171875,0.1966552734375
Which of the following statements regarding reproduction in Gymnosperms is inaccurate?, Microsporangium contain microsporocytes that undergo meiosis to form microspores, None of the other choices, Microgametophyte is also called as Pollen grain, Microspores further undergo reduction division to form microgametophyte,D,,val,-2.7325897216796875,-0.033324264898532775,-10.4375,-10.125,-9.3125,-6.584374904632568,-5.73828125,-5.0245537757873535,-3.9402668476104736,-3.55029296875,-3.2298805713653564,-2.735323429107666,-3.578125,-2.73046875,-2.1953125,-1.475683569908142,-1.2079263925552368,-1.0127650499343872,-0.73779296875,-0.6243652105331421,-0.5262340307235718,-0.28481820225715637
The dry cleaning of clothing generates air pollutants. How does this affect the equilibrium price in the market for dry cleaning services?," is too high to be optimal, and equilibrium quantity is too low.", and output are too low to be optimal.," is too low to be optimal, and equilibrium quantity is too high.", and output are too high to be optimal.,C,,val,-3.026876926422119,-0.028026638207612215,-8.71875,-7.640625,-6.963541507720947,-5.927083492279053,-5.3508524894714355,-4.86057710647583,-4.1865234375,-3.7880859375,-3.4410157203674316,-3.0257728099823,-1.90625,-1.5458984375,-1.240234375,-0.8374837040901184,-0.6465065479278564,-0.49911734461784363,-0.3350982666015625,-0.2496880441904068,-0.17335204780101776,-0.062255859375
Who was the winner of the 2018 Formula-1 Chinese Grand Prix?, Valtteri Bottas, None of the other choices, Daniel Ricciardo, Kimi Raikkonen,C,,val,-1.8382912874221802,-0.028723301365971565,-8.5625,-6.489583492279053,-5.268750190734863,-4.62890625,-3.65966796875,-3.061718702316284,-2.8140981197357178,-2.399789571762085,-2.084456443786621,-1.8398114442825317,-2.640625,-0.884521484375,-0.49653321504592896,-0.3929443359375,-0.250885009765625,-0.14719238877296448,-0.10078568756580353,-0.016319861635565758,0.06189778819680214,0.14859546720981598
What type of epithelium lines the inner walls of blood vessels?, Ciliated columnar epithelium, None of the other choices, Cuboidal epithelium, Columnar epithelium,B,,val,-2.3644275665283203,-0.03582466009891394,-9.0625,-6.96875,-6.177083492279053,-5.271874904632568,-4.744791507720947,-4.2745537757873535,-3.4051105976104736,-3.0684814453125,-2.7914817333221436,-2.3621408939361572,-1.5546875,-1.24609375,-1.0846353769302368,-0.747973620891571,-0.61773681640625,-0.5203508734703064,-0.3691270649433136,-0.30565184354782104,-0.2514093518257141,-0.09839805960655212
"You need to use a grinder, cut-off saw, cartridge tool or nail gun. What type of eye protection will you need? Give one answer", Welding goggles, Impact-resistant goggles or full face shield, None of the other choices, Reading glasses or sunglasses,B,,val,-3.8181631565093994,-0.03568376781784485,-11.53125,-9.274999618530273,-7.9765625,-7.1477274894714355,-6.4207587242126465,-5.98046875,-5.3601975440979,-4.786931991577148,-4.270429611206055,-3.818023681640625,-3.84375,-2.4124999046325684,-1.78857421875,-1.3927556276321411,-1.1067373752593994,-0.9572563171386719,-0.7694123983383179,-0.6161970496177673,-0.4944409132003784,-0.3754773736000061
"The plaintiff witnesses the defendant's child fall into the water and rescues the child from drowning. Subsequently, the defendant promises to pay him ₹ 1,000. Which of the following statements is correct in this context?", The defendant's liability arises in quasi contract., The defendant is liable because the agreement is not nudum pactum, The defendant's liability arises in contingent contract, The defendant is not liable as there is no contract,B,,val,-2.2928338050842285,-0.014153295093112521,-8.703125,-7.239583492279053,-6.088942527770996,-4.884548664093018,-4.13654899597168,-3.689091444015503,-3.22705078125,-2.910264730453491,-2.5712413787841797,-2.2931294441223145,-2.580078125,-1.5518662929534912,-1.134690523147583,-0.8145751953125,-0.6064983606338501,-0.47649919986724854,-0.33264923095703125,-0.2343817800283432,-0.1292933076620102,-0.02318805269896984
What is the cause of Itai-itai disease?, Cu poisoning, Hg poisoning, None of the other choices, Cd poisoning,B,,val,-3.1032798290252686,-0.0689617739783393,-14.9375,-11.0625,-8.666666984558105,-7.3203125,-6.02734375,-5.118489742279053,-4.417689800262451,-3.881103515625,-3.452378988265991,-3.107241153717041,-2.796875,-1.7421875,-1.1511636972427368,-0.852264404296875,-0.6546630859375,-0.50811767578125,-0.3886544406414032,-0.2902679443359375,-0.2052815705537796,-0.10936279594898224
What method(s) do business economists use to maintain an optimum inventory level?, Simple simulation exercises, ABC Analysis, Mathematical models, All of the above,D,,val,-3.8876707553863525,-0.05115356257087306,-8.25,-8.046875,-7.4453125,-7.231249809265137,-6.660714149475098,-6.23046875,-5.85243034362793,-4.902698993682861,-4.522298336029053,-3.88763427734375,-2.296875,-1.96484375,-1.62109375,-1.489843726158142,-1.2155412435531616,-1.069610595703125,-0.942626953125,-0.6971990466117859,-0.59417724609375,-0.4124755859375
What is the function of the DC bus voltage control in a VFD?, To control the motor’s speed, To control the VFD’s output voltage, To control the VFD’s efficiency, To control the VFD’s input voltage,B,,val,-2.5131564140319824,-0.039268068969249725,-7.375,-6.0625,-5.265625,-4.849999904632568,-4.189732074737549,-3.927734375,-3.6032986640930176,-3.1139914989471436,-2.8917644023895264,-2.5135324001312256,0.197265625,0.2255859375,0.26416015625,0.2828125059604645,0.3203125,0.334228515625,0.3511284589767456,0.3813920319080353,0.4059244692325592,0.4673549234867096
Which of the following is not a type of Non-Performing Asset?, Substandard Assets, Loss Assets, Devaluated Assets, Doubtful Debts,C,,val,-1.9210821390151978,-0.030016908422112465,-8.6875,-7.25,-5.03125,-4.353125095367432,-3.4575893878936768,-3.16015625,-2.9270832538604736,-2.4433815479278564,-2.2404987812042236,-1.9205886125564575,-0.3125,-0.23486328125,-0.16796875,-0.12919922173023224,-0.0740094855427742,-0.04840087890625,-0.02294921875,0.10799893736839294,0.1829833984375,0.337646484375
Why are massive main-sequence stars more luminous than their low-mass counterparts?, None of the other choices, wider absorption lines., greater amounts of unstable heavy elements., greater core pressures and temperatures.,D,,val,-1.8906323909759521,-0.024238876807384003,-9.1875,-6.416666507720947,-5.64453125,-4.52734375,-3.67724609375,-3.3098957538604736,-2.7405006885528564,-2.5179443359375,-2.1607677936553955,-1.8908612728118896,-0.59375,-0.4427083432674408,-0.365478515625,-0.23162841796875,-0.1455535888671875,-0.1009521484375,-0.01388272363692522,0.02649942971765995,0.0959559828042984,0.18430328369140625
Which of the following statements accurately describes Oracle Cloud Infrastructure's Object Storage Service?, An Archive Object Storage tier bucket can be upgraded to the Standard Object Storage tier., You cannot directly download an object froman Archive Object Storage bucket., None of the other choices, An existing Standard Object Storage tier bucket can be downgraded to the Archive Object Storage tier.,B,,val,-2.376636505126953,-0.02376636505126953,-11.5,-8.4375,-6.10546875,-5.553124904632568,-4.416294574737549,-3.9970703125,-3.640625,-3.0177557468414307,-2.7691242694854736,-2.3757150173187256,-2.765625,-1.82421875,-1.109375,-0.869433581829071,-0.5851702094078064,-0.49053955078125,-0.3967556357383728,-0.23459695279598236,-0.1623128205537796,0.009870256297290325
"Two athletes leap straight upward. If John's initial speed is double that of Harry's, how does John's airtime compare to Harry's?", three times as long., twice as long., four times as long., 1.41 times as long.,B,,val,-2.5683910846710205,-0.024003654996925427,-8.578125,-7.40625,-6.56640625,-5.400568008422852,-4.6339287757873535,-4.2412109375,-3.7115542888641357,-3.2541725635528564,-2.8755908012390137,-2.568281888961792,-2.6953125,-2.003124952316284,-1.5146484375,-1.1761363744735718,-0.9356427788734436,-0.8076095581054688,-0.6438052654266357,-0.4984852075576782,-0.3790576159954071,-0.2654811441898346
Which of the following methods can multinational corporations use to safeguard against exchange rate risks?, currency options, futures markets, forward markets, All of the above,D,,val,-2.9963717460632324,-0.032927162044650904,-17.75,-10.0,-8.890625,-6.57421875,-5.871651649475098,-4.861111164093018,-4.437890529632568,-3.739501953125,-3.458270788192749,-2.9992024898529053,-6.28125,-2.6471354961395264,-2.05810546875,-1.3856607675552368,-1.17431640625,-0.86865234375,-0.753662109375,-0.5629475712776184,-0.48373648524284363,-0.2930664122104645
Which of these functions does not belong to the responsibilities of a database management system?_________, Failure recovery, Processor Control, Concurrency control, Integrity control,B,,val,-3.722407341003418,-0.042786291275901354,-14.5625,-12.15625,-10.40625,-8.208333015441895,-6.7998046875,-6.230902671813965,-5.325639247894287,-4.9228515625,-4.25439453125,-3.7255935668945312,-8.9375,-6.005208492279053,-4.6240234375,-3.2106120586395264,-2.41900634765625,-2.1354708671569824,-1.7126686573028564,-1.5409749746322632,-1.2513601779937744,-0.961639404296875
How does the mean free path change as pressure increases?, Decreases., Increases., None of the other choices, Becomes zero.,A,,val,-2.425290822982788,-0.0404215137163798,-8.25,-6.234375,-5.302083492279053,-4.81640625,-4.170312404632568,-3.6731770038604736,-3.28125,-2.95947265625,-2.695746421813965,-2.4293456077575684,-1.078125,-0.78515625,-0.61328125,-0.41943359375,-0.24726562201976776,-0.1236979141831398,-0.0345982126891613,0.03564453125,0.1141493022441864,0.1875
What factor influences the skin effect?, Cross section of the conductors, Supply frequency, Permeability of the conductor, All of these,A,,val,-5.146691799163818,-0.10950408083327273,-8.5625,-8.5625,-8.5625,-8.46875,-7.927083492279053,-7.927083492279053,-7.0625,-7.0625,-6.150000095367432,-5.153971195220947,-1.8828125,-1.8828125,-1.8828125,-1.4375,-1.23828125,-1.23828125,-1.0595703125,-1.0595703125,-0.9292968511581421,-0.7115885615348816
"#include <stdio.h> int main() { int a = -1, b = 4, c = 1, d; d = ++a && ++b || ++c; printf(""%d, %d, %d, %d\n"", a, b, c, d); return 0; }"," 0, 5, 2, 1"," 0, 4, 2, 1", None of the other choices," 1, 4, 1, 1",B,,val,-0.9575533866882324,-0.008326551188593325,-5.466145992279053,-3.82421875,-2.9181742668151855,-2.330312490463257,-1.875823974609375,-1.5987484455108643,-1.3883750438690186,-1.1996285915374756,-1.0737998485565186,-0.9565279483795166,-3.6822917461395264,-2.051422119140625,-1.2819246053695679,-0.9591162204742432,-0.7263145446777344,-0.5841096639633179,-0.46441927552223206,-0.3517707288265228,-0.2684154808521271,-0.1716136932373047
To which antibacterial class does streptomycin belong?, Tetracyclines, Fluoroquinolone, Macrolide, Aminoglycoside,D,,val,-2.7130253314971924,-0.04447582510651135,-14.1875,-10.0,-7.661458492279053,-6.4296875,-5.235937595367432,-4.439778804779053,-3.847377300262451,-3.3837890625,-3.0163302421569824,-2.714974880218506,-3.453125,-1.78857421875,-1.1752115488052368,-0.81842041015625,-0.588330090045929,-0.4333089292049408,-0.3186732828617096,-0.231231689453125,-0.1588812917470932,-0.09260253608226776
What is the angle of incidence at which light is completely polarized upon reflection from air to glass (with a refractive index μ)?, sin-1 \(\left( \frac { 1 }{ μ } \right) \), None of the other choices, tan-1 (μ), tan-1 \(\left( \frac { 1 }{ μ } \right) \),C,,val,-2.0573067665100098,-0.01804655058342114,-7.125,-5.371874809265137,-4.75,-4.173437595367432,-3.576322078704834,-3.2838542461395264,-2.872612953186035,-2.6465821266174316,-2.3240702152252197,-2.0564041137695312,-3.6171875,-2.1507811546325684,-1.6821986436843872,-1.172521948814392,-0.8649057149887085,-0.7107828855514526,-0.5298190712928772,-0.4305481016635895,-0.293207585811615,-0.16472449898719788
"What has been the objective of the World Meteorological Organization (WMO) regarding the reduction in the number of deaths caused by hydro-meteorological disasters during the decade 2010-2019, compared to the decade 1994-2003?", None of the other choices,80%,25%,50%,D,,val,-1.567801594734192,-0.009677787621816,-7.056250095367432,-5.673295497894287,-4.485294342041016,-3.5964674949645996,-3.0051186084747314,-2.629538059234619,-2.2597899436950684,-1.9748163223266602,-1.748468279838562,-1.5677131414413452,-2.3515625,-1.50390625,-0.9754136204719543,-0.6980404853820801,-0.5076525211334229,-0.3863525390625,-0.26755982637405396,-0.15890900790691376,-0.055011454969644547,0.05049080774188042
When did Guru Angad Dev Ji pass away?, In 1552 A.D., In 1551 A.D., None of the other choices, In 1550 A.D.,A,,val,-2.907928466796875,-0.06462063259548612,-10.1875,-10.1875,-8.015625,-6.520833492279053,-5.48828125,-4.862500190734863,-4.282552242279053,-3.7123324871063232,-3.267822265625,-2.905707359313965,-1.3203125,-1.3203125,-1.005859375,-0.6409505009651184,-0.391845703125,-0.21347656846046448,-0.06005859375,0.0495256707072258,0.1585693359375,0.2555338442325592
Which layer within an antral follicle is devoid of cells?, Stroma, Granulomas, Theca interna, Zona pellucida,A,,val,-3.90998911857605,-0.06409818227173852,-9.375,-8.671875,-8.020833015441895,-7.609375,-6.5625,-6.0848212242126465,-5.69921875,-5.142361164093018,-4.689062595367432,-3.9097347259521484,-2.28125,-2.06640625,-1.7526041269302368,-1.4921875,-1.1650390625,-0.99365234375,-0.85052490234375,-0.6848415732383728,-0.531201183795929,-0.2935791015625
How can the positions of spiral tracers be used to trace the spiral arms in the sun's neighborhood?, Cepheid variable stars., massive stars., type Ia and type II supernovae., None of the other choices,B,,val,-3.5494093894958496,-0.04328548035970548,-9.8125,-8.6484375,-8.09375,-7.12890625,-6.199999809265137,-5.426432132720947,-4.838169574737549,-4.358154296875,-3.930555582046509,-3.5486817359924316,-1.58984375,-1.326171875,-1.193359375,-1.08251953125,-0.889843761920929,-0.69189453125,-0.5234375,-0.380126953125,-0.2567274272441864,-0.13496093451976776
Who is known as the 'Gandhi of Chirawa'?, Seth Ghanshyam Das Birla, Master Pyarelal Gupta, Radha krishna Bohra, Sardar Harlal Singh,B,,val,-2.7331273555755615,-0.05694015324115753,-7.875,-7.125,-6.40625,-5.637499809265137,-5.263020992279053,-4.690848350524902,-3.8146700859069824,-3.4867186546325684,-3.199751377105713,-2.729942798614502,-1.0546875,-1.0390625,-0.7457682490348816,-0.4306640625,-0.3211263120174408,-0.2342354953289032,-0.0977647602558136,-0.04228515550494194,0.010209516622126102,0.12161958962678909
Which of the following options help decrease moral hazard for the mortgage borrower?, Collateral, Borrower qualifications, Private mortgage insurance, Down payments,D,,val,-4.018345832824707,-0.05086513712436338,-10.8125,-10.375,-9.53125,-8.0625,-7.356770992279053,-6.8214287757873535,-5.715277671813965,-5.1953125,-4.741832256317139,-4.01466703414917,-3.609375,-2.71875,-2.14453125,-1.596093773841858,-1.3860677480697632,-1.2140066623687744,-0.9196506142616272,-0.784716784954071,-0.6569158434867859,-0.3641451299190521
"Among the following organic compounds, which one will produce the highest response intensity when introduced into a flame ionization detector?", None of the other choices, Butane, Methane, Ethane,B,,val,-2.3650217056274414,-0.02150019732388583,-8.109375,-6.984375,-5.986979007720947,-5.216796875,-4.359375,-3.837740421295166,-3.384244680404663,-3.0244715213775635,-2.72810435295105,-2.3660264015197754,-2.40625,-2.05078125,-1.5895181894302368,-1.190185546875,-0.81201171875,-0.6295447945594788,-0.4919596314430237,-0.38123276829719543,-0.28651830554008484,-0.14872603118419647
Which of these characteristics is not included in Weber’s model of an effective government?, People must be treated equally., Government must employ skilled experts., There are rules within civil society., Skilled experts do not necessarily have to operate within an organized hierarchy.,D,,val,-3.710381507873535,-0.04264806330889121,-10.1875,-8.177083015441895,-7.5625,-6.723958492279053,-6.348214149475098,-5.666666507720947,-5.264062404632568,-4.584635257720947,-4.267728328704834,-3.710970163345337,-5.21875,-3.171875,-2.5458984375,-1.7100423574447632,-1.4494279623031616,-1.0643988847732544,-0.917919933795929,-0.6918538212776184,-0.5761343240737915,-0.34020182490348816
What is the moisture percentage composition in green sand molding for steel casting?, None of the other choices, 2-3%, 5-6%, 4-5%,C,,val,-4.84773588180542,-0.06463647842407226,-12.25,-10.109375,-9.28125,-8.324999809265137,-7.84375,-7.34375,-6.545138835906982,-6.134375095367432,-5.654474258422852,-4.846303939819336,-2.734375,-2.6875,-2.4895832538604736,-2.05078125,-1.7815755605697632,-1.5511997938156128,-1.2186143398284912,-1.056909203529358,-0.9228293895721436,-0.6555551290512085
Which of the following carbohydrates is non-reducing?, Ribose 5 – phosphate, Sucrose, Maltose, Lactose,B,,val,-2.0249383449554443,-0.033748972415924075,-9.4375,-8.171875,-5.994791507720947,-4.771484375,-3.97265625,-3.3587238788604736,-2.889439105987549,-2.530975341796875,-2.250732421875,-2.0256717205047607,-1.890625,-1.6796875,-1.1161702871322632,-0.814544677734375,-0.6254638433456421,-0.4779256284236908,-0.3376639187335968,-0.2061004638671875,-0.0942247211933136,0.05738525465130806
Which of the following statements about the use of generics and parameterized types in Java is incorrect?, Generics and parameterized types eliminate the need for down casts when using Java Collections.," When designing your own collections class (say, a linked list), generics and parameterized types allow you to achieve type safety with just a single class definition as opposed to defining multiple classes.", Generics provide type safety by shifting more type checking responsibilities to the compiler., All of the mentioned,C,,val,-1.85391104221344,-0.020599011580149332,-8.9375,-6.270833492279053,-4.846875190734863,-3.916294574737549,-3.3220486640930176,-3.10546875,-2.728515625,-2.37646484375,-2.083709716796875,-1.85345458984375,-1.109375,-0.4977213442325592,-0.25175780057907104,-0.130859375,-0.0108506940305233,0.03339843824505806,0.1144205704331398,0.1934988796710968,0.2921142578125,0.4115668535232544
Which search algorithm sets a fixed depth limit on nodes?, Bidirectional search, Iterative deepening search, Depth-first search, None of the other choices,D,,val,-4.818055152893066,-0.07771056698214623,-11.0625,-10.46875,-9.114583015441895,-8.328125,-7.428124904632568,-6.674479007720947,-6.098214149475098,-5.58984375,-5.1796875,-4.817187309265137,-2.625,-2.34375,-2.0963542461395264,-1.7470703125,-1.4992187023162842,-1.2747396230697632,-1.0259486436843872,-0.828857421875,-0.6642795205116272,-0.48457032442092896
What is DMSO (Dimethyl sulphoxide) used for?, Alkylating agent, Chelating agent, Gelling agent, Cryoprotectant,D,,val,-2.0655674934387207,-0.03972245179689848,-8.1875,-6.875,-6.177083492279053,-4.557812690734863,-3.9700520038604736,-3.525111675262451,-2.898003578186035,-2.6597657203674316,-2.4342153072357178,-2.064406156539917,-3.1875,-2.640625,-1.8033853769302368,-1.018164038658142,-0.81640625,-0.6674107313156128,-0.4422743022441864,-0.35273438692092896,-0.2748579680919647,-0.1274038404226303
What is used to give feedback to the learning element?, Sensor, Actuators, Critic, None of the mentioned,C,,val,-4.00559139251709,-0.0667598565419515,-9.125,-8.71875,-8.15625,-7.84375,-7.150000095367432,-6.274739742279053,-5.500557899475098,-4.91259765625,-4.424045085906982,-4.002245903015137,-2.375,-1.6640625,-1.3463541269302368,-1.177734375,-0.913281261920929,-0.73486328125,-0.5710100531578064,-0.4224853515625,-0.2969835102558136,-0.19189453125
What kind of genetic material does the Variola virus contain?, Double stranded DNA, Single stranded RNA, Single stranded DNA, Double stranded RNA,A,,val,-3.135399103164673,-0.049768239732772585,-11.75,-9.375,-8.385416984558105,-6.8515625,-5.903124809265137,-5.227864742279053,-4.732142925262451,-4.24658203125,-3.81640625,-3.1363751888275146,-1.7109375,-1.42578125,-0.9468994140625,-0.675018310546875,-0.508959949016571,-0.37628173828125,-0.2728620171546936,-0.1708831787109375,-0.0603162981569767,0.15342019498348236
"During a concussion (a form of traumatic brain injury), the brain shifts within the cranial cavity, resulting in damage when it impacts the bony cavity walls. Ironically, one of the bone markings that can seriously harm the brain is the ________. This is ironic because one of its primary functions is to ________.", crista galli; attach to the dura matter holding the brain in place, styloid process; attach to and support the hyoid bone, perpendicular plate; separate the left and right halves of the nasal cavity, pterygoid processes; anchor important chewing muscles,A,,val,-2.8059139251708984,-0.01424321789426852,-10.239583015441895,-8.359375,-7.177083492279053,-6.129557132720947,-5.272135257720947,-4.584310054779053,-4.019345283508301,-3.5553386211395264,-3.1686153411865234,-2.805487632751465,-3.6432292461395264,-2.8287761211395264,-2.1536457538604736,-1.6189981698989868,-1.2780965566635132,-1.0232510566711426,-0.8246634602546692,-0.6543604731559753,-0.5124986171722412,-0.3592969477176666
Which of these karyotypes is not viable for human survival to birth?," 47, X"," 45, Y", None of the other choices," 47, XY,+13",B,,val,-3.3298871517181396,-0.04896892870173735,-10.5,-8.71875,-6.875,-6.278124809265137,-5.375,-5.05859375,-4.698784828186035,-4.131392002105713,-3.8557941913604736,-3.3271484375,-5.21875,-4.1875,-2.87109375,-2.334179639816284,-1.6346261501312256,-1.3873291015625,-1.1906466484069824,-0.8857421875,-0.7588704228401184,-0.4914202094078064
