subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,error_type,correct_answer,potential_reason,source,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
college_physics,The rest mass of a particle with total energy 5.0 GeV and momentum 4.9 GeV/c is approximately,0.1 GeV/c^2,0.2 GeV/c^2,0.5 GeV/c^2,1.0 GeV/c^2,3,D,ok,,,2017 GRE Physics Exam (GR1777 #36),-1.78092622756958,-0.019788069195217556,-7.171875,-4.946875095367432,-4.2566962242126465,-3.547656297683716,-3.240234375,-2.8111979961395264,-2.549172878265381,-2.2005858421325684,-2.015536308288574,-1.7781054973602295,-1.5703125,-0.988085925579071,-0.7568359375,-0.509765625,-0.3924153745174408,-0.2529948055744171,-0.1764705926179886,-0.08896484225988388,-0.04296875,0.054375000298023224
medical_genetics,"Nature is more important for ______ differences, while nurture has greater influence on ______ differences.",structural and anatomical; psychological and social,psychological and social; structural and anatomical,structural and psychological; anatomical and social,social and anatomical; psychological and structural,0,A,ok,,,https://study.sagepub.com/marks6e/student-resources/chapter-3/multiple-choice-question,-3.519050121307373,-0.04291524538179723,-11.4375,-8.770833015441895,-7.8984375,-6.5625,-5.796875,-5.526041507720947,-4.956676006317139,-4.626627445220947,-4.01171875,-3.521026611328125,-3.78125,-2.15625,-1.865234375,-1.5149739980697632,-1.260986328125,-1.0915799140930176,-0.8423295617103577,-0.7395833134651184,-0.5618024468421936,-0.4105224609375
college_mathematics,What is the greatest possible area of a triangular region with one vertex at the center of a circle of radius 1 and the other two vertices on the circle?,1/2,1,sqrt(2),pi,0,A,ok,,,Expert,-1.2988917827606201,-0.01159724806036268,-4.942708492279053,-3.9973957538604736,-3.348090171813965,-2.8723957538604736,-2.4541666507720947,-2.118706703186035,-1.8576078414916992,-1.6550699472427368,-1.4861834049224854,-1.2993518114089966,-0.9231770634651184,-0.58642578125,-0.380035400390625,-0.23481495678424835,-0.12821654975414276,-0.0387047678232193,0.0304405577480793,0.08783340454101562,0.14520376920700073,0.24151316285133362
marketing,"This is the process in which offerings move through a sequential, pre-determined pattern of development similar to the biological path that lifeforms follow:",Diffusion process.,Product lifecycle.,Adoption process.,Service development.,1,B,ok,,,"Fundamentals of Marketing, second edition",-4.116455554962158,-0.03374143897509966,-11.1875,-9.024999618530273,-8.125,-7.681250095367432,-6.956730842590332,-6.240234375,-5.783420085906982,-5.1484375,-4.627115726470947,-4.115793704986572,-3.1328125,-2.4906249046325684,-2.013671875,-1.726171851158142,-1.3893479108810425,-1.1329498291015625,-0.9894341230392456,-0.802187979221344,-0.6301371455192566,-0.46478044986724854
high_school_world_history,"This question refers to the following information.
""When the gods fashioned Gilgamesh*, to him they gave a perfect form. The glorious sun Shamash bestowed upon him glory; Adad the terrible god of storms bestowed upon him courage. The great gods perfected his magnificence beyond all others, terrible like the great wild bull. Two thirds god they made him; one third man they made him.
Of Uruk, its great rampart he built, and the wall of the sacred Eanna temple, the holy sanctuary. Behold the outer walls which gleam with the brilliance of copper; see the inner wall which none might rival. Touch the threshold stone—it is from ancient days. Goest thou into the Eanna temple, yea, the dwelling place of Ishtar, the like of which no subsequent king or living man might equal. Ascend and walk about on the wall of Uruk, inspect the corner-stone, and examine its brick-work, whether its wall is not made of burned brick, and its foundation laid by the Seven Sages. One third for city, one third for garden, one third for field, and a precinct for the temple of Ishtar. These parts and the precinct comprise Uruk.""
The Epic of Gilgamesh, ca. 2100 B.C.E.
*Gilgamesh was a king of Uruk.
Which of the following statements about ancient cities is most supported by the discussion of Uruk in the second paragraph?",Ancient cities lacked effective fortifications against attack.,Ancient cities featured areas for worshipping their patron deities.,Ancient cities commonly decorated their temples in modest ways.,Ancient cities featured areas for training their armies.,1,B,ok,,,AP World History Practice Question 112,-3.122791051864624,-0.004545547382626818,-10.006250381469727,-8.469270706176758,-7.280555725097656,-6.290364742279053,-5.473044395446777,-4.834254264831543,-4.322941303253174,-3.879141330718994,-3.478584051132202,-3.123192310333252,-2.624479055404663,-1.8901692628860474,-1.4555121660232544,-1.1037424802780151,-0.8489100933074951,-0.6564759016036987,-0.49799075722694397,-0.3617328405380249,-0.2434627115726471,-0.12435933202505112
prehistory,During which time frame is there evidence for anatomically modern Homo sapiens?,"800,000 to 10,000 years ago","800,000 years ago to present","400,000 years ago to present","200,000 to present",3,D,ok,,,https://global.oup.com/us/companion.websites/9780190275853/resources/ch5/quiz/,-3.00191068649292,-0.038985853071336625,-10.1875,-7.46875,-5.8515625,-5.478125095367432,-4.776785850524902,-4.509765625,-4.253472328186035,-3.776278495788574,-3.49365234375,-3.002964496612549,-1.4609375,-1.43359375,-1.3134765625,-1.221093773841858,-1.0496652126312256,-0.969482421875,-0.8787977695465088,-0.7005060315132141,-0.6165771484375,-0.452880859375
clinical_knowledge,Lactate and hydrogen ions leave the muscle:,via a cotransport mechanism with carnosine.,via an active transport mechanism.,via a protein transporter molecule.,by simple diffusion.,2,C,ok,,same question source as college_medicine,https://global.oup.com/uk/orc/biosciences/biochem/gleeson2e/01student/mcqs/ch06/?view=Standard,-3.7656030654907227,-0.07383535422530829,-7.90625,-7.90625,-7.234375,-6.989583492279053,-6.3515625,-5.837500095367432,-5.18359375,-4.668526649475098,-4.2041015625,-3.765191078186035,-2.046875,-2.046875,-2.01953125,-1.3074544668197632,-0.9180908203125,-0.653613269329071,-0.469482421875,-0.3125697672367096,-0.19244384765625,-0.0990125834941864
conceptual_physics,When the color yellow is seen on your TV screen the phosphors being activated on the screen are,mainly yellow.,blue and red.,green and yellow.,red and green.,3,D,ok,,,https://www.bartleby.com/solution-answer/chapter-28-problem-27a-conceptual-physics-the-high-school-physics-program-9th-edition/9780133647495/on-a-tv-screen-what-dots-are-activated-to-produce-yellow-magenta-white/67fe671d-305f-42a9-8709-21cc9fa0e20b,-3.6798994541168213,-0.04658100574831419,-8.125,-7.40625,-6.856249809265137,-6.325892925262451,-5.951388835906982,-5.734375,-5.166666507720947,-4.580636024475098,-4.089599609375,-3.683702230453491,-2.6875,-1.6171875,-1.314843773841858,-1.0873326063156128,-0.8643662929534912,-0.7705078125,-0.597900390625,-0.4410574734210968,-0.30877685546875,-0.1837565153837204
human_aging,Continued stress is damaging to health and longevity because it leads to,Over exercising which causes physical damage,Suppression of the immune system,"Less eating and, in many cases, severe eating disorders",Risky behaviors such as speeding and not using a seat belt,1,B,ok,,,https://s3-eu-west-1.amazonaws.com/s3-euw1-ap-pe-ws4-cws-documents.ri-prod/9780205544011/Chapter%205%20Multiple%20Choice.doc,-3.344355344772339,-0.048468918040178825,-9.4375,-7.8125,-7.0,-6.4375,-5.526041507720947,-5.098214149475098,-4.6962890625,-4.333333492279053,-3.9664063453674316,-3.3408203125,-1.578125,-1.4296875,-1.2330728769302368,-1.0634765625,-0.7095133662223816,-0.5713239312171936,-0.443023681640625,-0.3321668803691864,-0.2403564453125,-0.08831787109375
college_mathematics,(1+i)^10 =,1,i,32,32i,3,D,ok,,,Expert,-3.1506481170654297,-0.175036006503635,-11.875,-11.875,-11.875,-7.046875,-5.395833492279053,-5.395833492279053,-4.35546875,-4.35546875,-3.6468749046325684,-3.1529948711395264,-11.8125,-11.8125,-11.8125,-5.79736328125,-3.7529296875,-3.7529296875,-2.676025390625,-2.676025390625,-1.9923827648162842,-1.53076171875
high_school_macroeconomics,Which of the following will have an effect on GDP?,You lose $50 betting with a friend.,You fix your brother's car without buying any new parts.,Your father's firm makes computers and exports them to China.,You buy 1000 shares of stock in a corporation.,2,C,ok,2,,https://www.crackap.com/ap/macroeconomics/question-116.html,-2.954150676727295,-0.050933632357367156,-10.0625,-8.21875,-6.875,-6.05859375,-5.375,-4.7578125,-4.191964149475098,-3.6861572265625,-3.279161214828491,-2.9520232677459717,-2.140625,-1.5234375,-1.3151041269302368,-0.9637451171875,-0.74462890625,-0.563232421875,-0.3946010172367096,-0.26812744140625,-0.1558702290058136,0.0042480467818677425
college_medicine,Women's world record performances have improved rapidly in recent years mainly because:,women have evolved a greater muscle mass.,women can now run faster than men.,women have started training at an earlier age.,more women are now engaged in sport.,3,D,ok,,,https://global.oup.com/uk/orc/biosciences/biochem/gleeson2e/01student/mcqs/ch01/,-3.6903181076049805,-0.04612897634506226,-10.375,-8.890625,-7.96875,-6.568749904632568,-6.015625,-5.595982074737549,-4.78993034362793,-4.48046875,-4.203125,-3.689152717590332,-5.84375,-3.41015625,-2.4830729961395264,-1.676171898841858,-1.4495443105697632,-1.2555803060531616,-0.9703776240348816,-0.833691418170929,-0.7035688757896423,-0.4525991678237915
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | She wanted to decorate the apartment in a Halloween theme, so I poured plastic spiders throughout the apartment so that we would have spider decorations. Scenario 2 | I took a photo of my cousin washing in the bath.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",2,C,ok,,,,-3.2353317737579346,-0.01288976802293998,-9.3046875,-8.178308486938477,-7.118750095367432,-6.243106842041016,-5.600818634033203,-4.978553771972656,-4.4936442375183105,-3.994887351989746,-3.6136152744293213,-3.2353808879852295,-2.7626953125,-2.0891544818878174,-1.6532812118530273,-1.2398788928985596,-0.9914405345916748,-0.7700841426849365,-0.6070722341537476,-0.4483696520328522,-0.32865023612976074,-0.18626923859119415
nutrition,"What is the prevalence of alcoholic myopathy in alcoholics
",30 to 50%,40 to 60%,20 to 40%,10 to 30%,1,B,ok,,,https://global.oup.com/uk/orc/health/geissler13e/student/mcqs/ch10/,-3.863934278488159,-0.06549041149979931,-11.0625,-9.9375,-9.479166984558105,-8.796875,-7.987500190734863,-6.796224117279053,-5.939174175262451,-5.25634765625,-4.695746421813965,-3.865278720855713,-5.1875,-3.26171875,-2.484375,-2.0166015625,-1.685156226158142,-1.3518880605697632,-1.1121652126312256,-0.923828125,-0.7521701455116272,-0.48544034361839294
international_law,How are the members of the arbitral tribunal appointed?,All the members of the arbitral tribunal are appointed by the parties,All the members of the arbitral tribunal are appointed by the parties,"All the members of the arbitral tribunal are appointed by an impartial third party, such as the president of the ICJ",All the members of the arbitral tribunal are appointed by the parties from a restricted list of arbitrators,0,A,ok,,,,-2.762885332107544,-0.047635954001854205,-11.25,-8.90625,-7.34375,-6.109375,-5.159375190734863,-4.456380367279053,-3.8755581378936768,-3.433837890625,-3.063042640686035,-2.7620606422424316,-1.3515625,-1.34765625,-0.9876301884651184,-0.685791015625,-0.49199217557907104,-0.3380533754825592,-0.2267020046710968,-0.1353759765625,-0.02484809048473835,0.09169922024011612
international_law,Which of the following articles are not qualified rights?,Article 3,Article 8,Article 9,Article 11,0,A,ok,,,,-3.960890769958496,-0.06388533499933058,-9.75,-9.75,-9.34375,-9.125,-7.75390625,-6.590624809265137,-5.770833492279053,-5.0859375,-4.453094482421875,-3.9591708183288574,-2.859375,-2.859375,-2.42578125,-1.9791666269302368,-1.4617919921875,-1.14306640625,-0.8548991084098816,-0.64794921875,-0.47857666015625,-0.2648111879825592
conceptual_physics,Boiling and freezing occur when water is subjected to,decreased temperatures,decreased atmospheric pressure,increased temperatures,increased atmospheric pressure,1,B,ok,,,https://brainly.com/question/32273369,-2.7572474479675293,-0.04753874910288844,-4.875,-4.875,-4.515625,-4.338541507720947,-4.14453125,-3.8968749046325684,-3.6223957538604736,-3.3270089626312256,-3.099609375,-2.7552082538604736,-0.65234375,-0.65234375,-0.44189453125,-0.33984375,-0.24676513671875,-0.15522460639476776,-0.0927327498793602,0.007568359375,0.099395751953125,0.2029351145029068
clinical_knowledge,What commonly causes skin excoriation?,A well-fitting pouch.,Changing the pouch every day.,Leakage of effluent onto peristomal skin.,The use of unscented soap to cleanse the skin.,2,C,ok,,,https://global.oup.com/uk/orc/nursing/endacott/01student/quizzes/ch10/06stoma/?view=Standard,-4.565669059753418,-0.09925367521203082,-12.9375,-12.9375,-10.75,-10.75,-8.84375,-7.25390625,-7.25390625,-6.221875190734863,-5.320963382720947,-4.5663018226623535,-3.390625,-3.390625,-2.67578125,-2.67578125,-1.9205728769302368,-1.4619140625,-1.4619140625,-1.132226586341858,-0.84130859375,-0.6000279188156128
high_school_us_history,"This question refers to the following information.
It is natural, it is a privilege, I will go farther, it is a right, which all free men claim, that they are entitled to complain when they are hurt. They have a right publicly to remonstrate against the abuses of power in the strongest terms, to put their neighbors upon their guard against the craft or open violence of men in authority, and to assert with courage the sense they have of the blessings of liberty, the value they put upon it, and their resolution at all hazards to preserve it as one of the greatest blessings heaven can bestow.… But to conclude: The question before the Court and you, Gentlemen of the jury, is not of small or private concern. It is not the cause of one poor printer, nor of New York alone, which you are now trying. No! It may in its consequence affect every free man that lives under a British government on the main of America. It is the best cause. It is the cause of liberty. And I make no doubt but your upright conduct this day will not only entitle you to the love and esteem of your fellow citizens, but every man who prefers freedom to a life of slavery will bless and honor you as men who have baffled the attempt of tyranny, and by an impartial and uncorrupt verdict have laid a noble foundation for securing to ourselves, our posterity, and our neighbors, that to which nature and the laws of our country have given us a right to liberty of both exposing and opposing arbitrary power (in these parts of the world at least) by speaking and writing truth.
—Andrew Hamilton, concluding argument, libel trial of newspaper editor
John Peter Zenger, August 4, 1735
Which of the following best describes the significance of the Zenger Trial?",An important incident in opposing British taxation policy,An early attack on the institution of slavery,A landmark case concerning voting rights,A landmark case concerning freedom of expression,3,D,ok,,,https://www.crackap.com/ap/us-history/question-288.html,-3.03079891204834,-0.0033051242225172737,-9.408783912658691,-7.7360639572143555,-6.70326566696167,-5.889358043670654,-5.204469203948975,-4.636560916900635,-4.1581130027771,-3.739872694015503,-3.3668980598449707,-3.0314226150512695,-3.0677788257598877,-2.119668483734131,-1.576638102531433,-1.1950335502624512,-0.9193244576454163,-0.7106494307518005,-0.5434128046035767,-0.40640196204185486,-0.28864794969558716,-0.1736554354429245
college_physics,The speed of light inside of a nonmagnetic dielectric material with a dielectric constant of 4.0 is,1.2 x 10^9 m/s,3.0 x 10^8 m/s,1.5 x 10^8 m/s,1.0 x 10^8 m/s,2,C,ok,,Redundant with #20,2017 GRE Physics Exam (GR1777 #15),-1.8838013410568237,-0.022426206441152664,-7.390625,-6.6875,-5.263020992279053,-4.120659828186035,-3.5625,-3.145432710647583,-2.6561279296875,-2.399359703063965,-2.1684937477111816,-1.885985016822815,-2.22265625,-1.56005859375,-1.1061197519302368,-0.7230088710784912,-0.5777477025985718,-0.4558856785297394,-0.2965545654296875,-0.2088080495595932,-0.13031005859375,-0.024658203125
virology,David Baltimore is a molecular biologist. What did he discover?,The structure of DNA,X-ray crystallographic techniques,The enzyme reverse transcriptase,The anti HIV drug zidovudine,2,C,ok,,,,-2.9807350635528564,-0.043834339169894945,-10.5625,-7.96875,-6.916666507720947,-6.2265625,-5.525000095367432,-5.005208492279053,-4.447544574737549,-3.9931640625,-3.614149332046509,-2.9803354740142822,-1.65625,-1.48046875,-1.1940103769302368,-1.0302734375,-0.785937488079071,-0.6015625,-0.46875,-0.353759765625,-0.2515190839767456,-0.076171875
anatomy,A successful infraorbital nerve block will produce anaesthesia of the,maxillary anterior teeth.,maxillary anterior teeth and their labial gingivae.,"maxillary anterior teeth, their labial gingivae and the upper lip.","maxillary anterior teeth, their labial gingivae, the upper lip and anterior hard palate.",2,C,ok,,,https://global.oup.com/uk/orc/dentistry/atkinson/student/mcqs/ch25/,-4.4434943199157715,-0.06632081074501152,-15.25,-12.625,-11.416666984558105,-10.6875,-8.408854484558105,-7.385044574737549,-6.56494140625,-5.8828125,-5.319921970367432,-4.440826416015625,-3.28125,-3.09375,-2.6979167461395264,-2.1796875,-1.5267740488052368,-1.2726701498031616,-1.07037353515625,-0.8984917402267456,-0.754345715045929,-0.4971109926700592
professional_accounting,"While performing an audit of the financial statements of a company for the year ended December 31, year 1, the auditor notes that the company’s sales increased substantially in December, year 1, with a corresponding decrease in January, year 2. In assessing the risk of fraudulent financial reporting or misappropriation of assets, what should be the auditor’s initial indication about the potential for fraud in sales revenue?",There is a broad indication of misappropriation of assets.,There is an indication of theft of the entity’s assets.,There is an indication of embezzling receipts.,There is a broad indication of financial reporting fraud.,3,D,ok,,,https://www.brainscape.com/flashcards/1819-7454645/packs/12130364,-1.9156383275985718,-0.007571692994460758,-6.40625,-5.3076171875,-4.627604007720947,-3.948153495788574,-3.454268217086792,-3.0515785217285156,-2.663961410522461,-2.386630058288574,-2.145362615585327,-1.9140349626541138,-1.8740234375,-1.30517578125,-0.9013417363166809,-0.6300011873245239,-0.46250951290130615,-0.3246970772743225,-0.19797278940677643,-0.10549834370613098,-0.019399281591176987,0.08596102893352509
professional_medicine,"A 45-year-old limousine driver comes to the office for an initial appointment because he would like you to fill out and sign a legal document at the request of his attorney. The patient states that he is filing a lawsuit against the limousine company that employs him because he developed post-traumatic stress disorder following a motor vehicle collision. He appears irritable and tense as he provides his history. He relays his symptoms by reading them aloud from a written list. At this time, which of the following is the most appropriate approach toward confirming the underlying diagnosis of this patient?",Administer amobarbital and then interview the patient,Ask the patient to provide a narrative with detailed description of the incident and of his symptoms,Interview the patient under hypnosis,Interview the patient while paying close attention to his willingness to make eye contact,1,B,ok,,,https://www.usmle.org/sites/default/files/2021-08/Step_3_Sample_Items.pdf,-2.607433795928955,-0.007365632191889703,-8.684659004211426,-7.123641490936279,-6.113839149475098,-5.390285491943359,-4.675107955932617,-4.110770225524902,-3.66015625,-3.251070976257324,-2.9015066623687744,-2.606121063232422,-2.998579502105713,-2.13519024848938,-1.6256695985794067,-1.24451744556427,-0.9557558298110962,-0.7375593185424805,-0.5784173607826233,-0.43731361627578735,-0.3154599070549011,-0.18998940289020538
clinical_knowledge,The rate of blood lactate accumulation is determined by:,the rate of muscle lactate production and the rate of muscle lactate efflux.,the rate of anaerobic glycolysis.,the rate of muscle glucose uptake.,the difference between the rate of lactate appearance and the rate of lactate clearance.,3,D,ok,,same question source as college_medicine,https://global.oup.com/uk/orc/biosciences/biochem/gleeson2e/01student/mcqs/ch04/?view=Standard,-3.2908287048339844,-0.05307788233603201,-8.5625,-8.109375,-7.447916507720947,-6.48828125,-5.734375,-5.190104007720947,-4.651785850524902,-4.104248046875,-3.652479410171509,-3.2880096435546875,-3.046875,-1.91015625,-1.5143228769302368,-1.182861328125,-0.93212890625,-0.745849609375,-0.5966099500656128,-0.46612548828125,-0.3518337607383728,-0.22797851264476776
machine_learning,"Statement 1| Industrial-scale neural networks are normally trained on CPUs, not GPUs. Statement 2| The ResNet-50 model has over 1 billion parameters.","True, True","False, False","True, False","False, True",1,B,ok,,,Expert,-3.0320353507995605,-0.02387429410078394,-11.583333015441895,-10.145833015441895,-8.026562690734863,-6.794471263885498,-5.645679950714111,-4.976366996765137,-4.4147419929504395,-3.809823513031006,-3.4361164569854736,-3.033463478088379,-3.1588542461395264,-2.1796875,-1.583593726158142,-1.196364164352417,-0.8735638856887817,-0.7020508050918579,-0.5609714388847351,-0.40422454476356506,-0.2955729067325592,-0.15533088147640228
high_school_world_history,"This question refers to the following information.
""Upon this a question arises: whether it be better to be loved than feared or feared than loved? It may be answered that one should wish to be both, but, because it is difficult to unite them in one person, it is much safer to be feared than loved, when, of the two, either must be dispensed with. Because this is to be asserted in general of men, that they are ungrateful, fickle, false, cowardly, covetous, and as long as you succeed they are yours entirely; they will offer you their blood, property, life, and children, as is said above, when the need is far distant; but when it approaches they turn against you. And that prince who, relying entirely on their promises, has neglected other precautions, is ruined; because friendships that are obtained by payments, and not by greatness or nobility of mind, may indeed be earned, but they are not secured, and in time of need cannot be relied upon; and men have less scruple in offending one who is beloved than one who is feared, for love is preserved by the link of obligation which, owing to the baseness of men, is broken at every opportunity for their advantage; but fear preserves you by a dread of punishment which never fails.""
Nicolo Machiavelli, The Prince, ca. 1513 C.E.
Which of the following best characterizes the author's attitude in the passage?",Cynicism about the loyalty of a ruler's subjects,Optimism about the fair-mindedness of political leaders,Criticism of the religious establishment,Ambivalence about the future of his economic prospects,0,A,ok,,,AP World History Practice Question 51,-2.758821725845337,-0.0037637404172514827,-8.301041603088379,-7.00051212310791,-6.101052761077881,-5.3984375,-4.81290864944458,-4.2991251945495605,-3.843932628631592,-3.4247050285339355,-3.062958240509033,-2.7582457065582275,-2.1348958015441895,-1.5179944038391113,-1.1568763256072998,-0.8898085355758667,-0.6828022599220276,-0.5200513601303101,-0.39224955439567566,-0.2765864133834839,-0.17015540599822998,-0.06124669313430786
