question,choice_A,choice_B,choice_C,choice_D,answer,category,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
At what point should you cease the preparation of a sterile field for an operating room surgical procedure?, When you have completely finished the field. You can’t stop the set up until it is all done., When you have accidentally poured a sterile liquid into a container that was placed on the sterile field., When you have put a sterile item only 1 inch and not 2 inches from the edge of the sterile field., When you turn your upper body only away from the field because the surgeon calls your name.,D,,val,-2.763522148132324,-0.030705801645914712,-7.1875,-6.28125,-5.556250095367432,-4.892857074737549,-4.454861164093018,-4.282812595367432,-3.8678386211395264,-3.482700824737549,-3.082275390625,-2.761773109436035,-1.734375,-1.0130208730697632,-0.766796886920929,-0.5412946343421936,-0.3795572817325592,-0.3013671934604645,-0.1809895783662796,-0.0863560289144516,0.0079345703125,0.1125217005610466
Which of the following statements regarding reproduction in Gymnosperms is inaccurate?, Microsporangium contain microsporocytes that undergo meiosis to form microspores, None of the other choices, Microgametophyte is also called as Pollen grain, Microspores further undergo reduction division to form microgametophyte,D,,val,-2.483987331390381,-0.03029252843159001,-9.6875,-8.65625,-8.25,-5.925000190734863,-5.20703125,-4.561942100524902,-3.573621988296509,-3.2193360328674316,-2.9294655323028564,-2.481163501739502,-4.8125,-3.0859375,-2.40625,-1.5851562023162842,-1.302978515625,-1.0956333875656128,-0.8152669072151184,-0.694287121295929,-0.5862482190132141,-0.32838791608810425
The dry cleaning of clothing generates air pollutants. How does this affect the equilibrium price in the market for dry cleaning services?," is too high to be optimal, and equilibrium quantity is too low.", and output are too low to be optimal.," is too low to be optimal, and equilibrium quantity is too high.", and output are too high to be optimal.,C,,val,-2.913679361343384,-0.02697851260503133,-8.6875,-7.3984375,-6.651041507720947,-5.746527671813965,-5.159090995788574,-4.685096263885498,-4.071533203125,-3.679795980453491,-3.334033250808716,-2.91300106048584,-2.08203125,-1.69921875,-1.2955728769302368,-0.8902316689491272,-0.6956121325492859,-0.5459266304969788,-0.38460540771484375,-0.2938028872013092,-0.21325072646141052,-0.10374384373426437
Who was the winner of the 2018 Formula-1 Chinese Grand Prix?, Valtteri Bottas, None of the other choices, Daniel Ricciardo, Kimi Raikkonen,C,,val,-2.1105751991271973,-0.03297773748636246,-11.0625,-7.239583492279053,-5.821875095367432,-5.140625,-4.193359375,-3.5023436546325684,-3.2194602489471436,-2.753455638885498,-2.3914225101470947,-2.110990524291992,-3.71875,-1.4752603769302368,-0.876049816608429,-0.7174275517463684,-0.5048675537109375,-0.35047608613967896,-0.2880748510360718,-0.16337703168392181,-0.05826009064912796,0.048088520765304565
What type of epithelium lines the inner walls of blood vessels?, Ciliated columnar epithelium, None of the other choices, Cuboidal epithelium, Columnar epithelium,B,,val,-2.1334550380706787,-0.03232507633440422,-8.625,-7.171875,-6.15625,-5.15625,-4.459635257720947,-3.9291293621063232,-3.075086832046509,-2.771411180496216,-2.521573066711426,-2.133638858795166,-1.4609375,-1.1640625,-1.0338541269302368,-0.684552013874054,-0.5663502812385559,-0.465911865234375,-0.313873291015625,-0.25436097383499146,-0.19004406034946442,-0.06645555049180984
"You need to use a grinder, cut-off saw, cartridge tool or nail gun. What type of eye protection will you need? Give one answer", Welding goggles, Impact-resistant goggles or full face shield, None of the other choices, Reading glasses or sunglasses,B,,val,-3.7828726768493652,-0.03535395025092865,-11.9375,-9.524999618530273,-8.1328125,-7.21875,-6.3995537757873535,-5.921875,-5.276315689086914,-4.731534004211426,-4.224140644073486,-3.7813720703125,-4.625,-3.2890625,-2.376953125,-1.8349609375,-1.4440394639968872,-1.2478790283203125,-1.0121427774429321,-0.8345281481742859,-0.6739160418510437,-0.5174473524093628
"The plaintiff witnesses the defendant's child fall into the water and rescues the child from drowning. Subsequently, the defendant promises to pay him ₹ 1,000. Which of the following statements is correct in this context?", The defendant's liability arises in quasi contract., The defendant is liable because the agreement is not nudum pactum, The defendant's liability arises in contingent contract, The defendant is not liable as there is no contract,B,,val,-2.176460027694702,-0.01343493844255989,-8.8984375,-7.222222328186035,-6.0,-4.876736164093018,-4.066066741943359,-3.5723378658294678,-3.0838623046875,-2.7678494453430176,-2.440852403640747,-2.176886558532715,-2.8125,-1.7855902910232544,-1.293795108795166,-0.9295891523361206,-0.689864456653595,-0.5423064231872559,-0.38951683044433594,-0.2857988178730011,-0.17348721623420715,-0.05281265825033188
What is the cause of Itai-itai disease?, Cu poisoning, Hg poisoning, None of the other choices, Cd poisoning,B,,val,-2.387845277786255,-0.05306322839525011,-13.1875,-10.4375,-7.294270992279053,-5.685546875,-4.66015625,-3.9365234375,-3.4033203125,-2.983642578125,-2.6547038555145264,-2.389233350753784,-2.5625,-1.69140625,-1.124267578125,-0.80560302734375,-0.6075683832168579,-0.4412027895450592,-0.3084193766117096,-0.202484130859375,-0.0975206196308136,-0.0096435546875
What method(s) do business economists use to maintain an optimum inventory level?, Simple simulation exercises, ABC Analysis, Mathematical models, All of the above,D,,val,-3.954406976699829,-0.05203167074605038,-8.0625,-7.984375,-7.8203125,-7.606249809265137,-6.651785850524902,-6.28125,-5.93055534362793,-4.9921875,-4.60693359375,-3.9572055339813232,-4.5,-3.265625,-2.369140625,-2.1328125,-1.6646205186843872,-1.4669189453125,-1.3006998300552368,-1.0040172338485718,-0.87347412109375,-0.6432233452796936
What is the function of the DC bus voltage control in a VFD?, To control the motor’s speed, To control the VFD’s output voltage, To control the VFD’s efficiency, To control the VFD’s input voltage,B,,val,-2.3877480030059814,-0.03730856254696846,-7.78125,-6.515625,-5.26953125,-4.849999904632568,-4.127232074737549,-3.751953125,-3.430555582046509,-2.9410512447357178,-2.7371418476104736,-2.3892996311187744,-0.054443359375,-0.0452880859375,0.0585479736328125,0.12418212741613388,0.2072841078042984,0.23630523681640625,0.26690673828125,0.3220714330673218,0.3453623354434967,0.4023306667804718
Which of the following is not a type of Non-Performing Asset?, Substandard Assets, Loss Assets, Devaluated Assets, Doubtful Debts,C,,val,-1.846270203590393,-0.02884797193109989,-7.65625,-5.953125,-4.58984375,-4.153124809265137,-3.3939731121063232,-3.1318359375,-2.8357205390930176,-2.3460137844085693,-2.1518046855926514,-1.8444039821624756,-3.21875,-1.61395263671875,-0.798675537109375,-0.6291748285293579,-0.4131382405757904,-0.3119354248046875,-0.2199842631816864,-0.04752974212169647,0.0449727363884449,0.2176775187253952
Why are massive main-sequence stars more luminous than their low-mass counterparts?, None of the other choices, wider absorption lines., greater amounts of unstable heavy elements., greater core pressures and temperatures.,D,,val,-1.7179365158081055,-0.022024827125744943,-9.375,-6.59375,-5.6015625,-4.240885257720947,-3.3564453125,-3.015625,-2.484818935394287,-2.2827961444854736,-1.9588797092437744,-1.714019775390625,-2.203125,-1.0794271230697632,-0.831298828125,-0.5525258183479309,-0.3920021057128906,-0.3233812153339386,-0.21380338072776794,-0.16701507568359375,-0.0770285502076149,0.04343986511230469
Which of the following statements accurately describes Oracle Cloud Infrastructure's Object Storage Service?, An Archive Object Storage tier bucket can be upgraded to the Standard Object Storage tier., You cannot directly download an object froman Archive Object Storage bucket., None of the other choices, An existing Standard Object Storage tier bucket can be downgraded to the Archive Object Storage tier.,B,,val,-2.4899487495422363,-0.024899487495422364,-11.6875,-9.140625,-6.375,-5.634375095367432,-4.6339287757873535,-4.2568359375,-3.838324546813965,-3.1637518405914307,-2.9026691913604736,-2.4902169704437256,-2.84375,-2.1015625,-1.3701171875,-1.1232421398162842,-0.7696707844734192,-0.6549072265625,-0.5478515625,-0.38254615664482117,-0.2855631411075592,-0.0826590433716774
"Two athletes leap straight upward. If John's initial speed is double that of Harry's, how does John's airtime compare to Harry's?", three times as long., twice as long., four times as long., 1.41 times as long.,B,,val,-2.2967705726623535,-0.0214651455389005,-9.3125,-7.612500190734863,-6.39453125,-5.107244491577148,-4.272042274475098,-3.8515625,-3.323190689086914,-2.904829502105713,-2.5692920684814453,-2.2945644855499268,-3.5390625,-2.1937499046325684,-1.577880859375,-1.15771484375,-0.8809639811515808,-0.737030029296875,-0.5621659159660339,-0.4293989837169647,-0.3113085925579071,-0.1907610148191452
Which of the following methods can multinational corporations use to safeguard against exchange rate risks?, currency options, futures markets, forward markets, All of the above,D,,val,-2.6054322719573975,-0.02863112386766371,-15.5625,-9.583333015441895,-7.73828125,-5.6875,-5.095982074737549,-4.247395992279053,-3.8667969703674316,-3.2523193359375,-3.004507303237915,-2.6064860820770264,-5.625,-2.6901042461395264,-2.09521484375,-1.3914541006088257,-1.1776078939437866,-0.8833652138710022,-0.7739349603652954,-0.5788650512695312,-0.49632614850997925,-0.28639933466911316
Which of these functions does not belong to the responsibilities of a database management system?_________, Failure recovery, Processor Control, Concurrency control, Integrity control,B,,val,-3.3468241691589355,-0.03846924332366593,-13.0,-10.208333015441895,-8.6953125,-7.033854007720947,-5.927734375,-5.448784828186035,-4.6960225105285645,-4.381510257720947,-3.822963237762451,-3.346548080444336,-5.65625,-3.84375,-3.255859375,-2.3372395038604736,-1.75537109375,-1.5479058027267456,-1.19580078125,-1.0489501953125,-0.7969796061515808,-0.549896240234375
How does the mean free path change as pressure increases?, Decreases., Increases., None of the other choices, Becomes zero.,A,,val,-2.2340219020843506,-0.03723369836807251,-7.8125,-5.984375,-4.947916507720947,-4.265625,-3.7593750953674316,-3.3450520038604736,-2.994419574737549,-2.705078125,-2.4791667461395264,-2.234326124191284,-1.390625,-0.7998046875,-0.5885416865348816,-0.467529296875,-0.34394532442092896,-0.2088216096162796,-0.1100725457072258,-0.0260009765625,0.0662977397441864,0.14521484076976776
What factor influences the skin effect?, Cross section of the conductors, Supply frequency, Permeability of the conductor, All of these,A,,val,-4.536062717437744,-0.09651197271144137,-8.6875,-8.6875,-8.6875,-8.5625,-6.854166507720947,-6.854166507720947,-5.9921875,-5.9921875,-5.412499904632568,-4.542317867279053,-1.828125,-1.828125,-1.828125,-1.3671875,-1.1302083730697632,-1.1302083730697632,-0.8189697265625,-0.8189697265625,-0.60205078125,-0.4375813901424408
"#include <stdio.h> int main() { int a = -1, b = 4, c = 1, d; d = ++a && ++b || ++c; printf(""%d, %d, %d, %d\n"", a, b, c, d); return 0; }"," 0, 5, 2, 1"," 0, 4, 2, 1", None of the other choices," 1, 4, 1, 1",B,,val,-0.7145968675613403,-0.00621388580488122,-4.236979007720947,-2.9752604961395264,-2.1749589443206787,-1.7372655868530273,-1.404052734375,-1.1942074298858643,-1.0357277393341064,-0.8953935503959656,-0.8016876578330994,-0.7140030860900879,-2.5852863788604736,-1.2967758178710938,-0.7980073690414429,-0.5861535668373108,-0.4297800064086914,-0.3336767852306366,-0.25046679377555847,-0.1641971319913864,-0.09928438812494278,-0.017197132110595703
To which antibacterial class does streptomycin belong?, Tetracyclines, Fluoroquinolone, Macrolide, Aminoglycoside,D,,val,-2.6878890991210938,-0.04406375572329662,-17.125,-11.0,-8.135416984558105,-6.49609375,-5.272656440734863,-4.444010257720947,-3.8299386501312256,-3.35784912109375,-2.989013671875,-2.690112352371216,-4.8125,-2.3968505859375,-1.5487467050552368,-1.11712646484375,-0.8509277105331421,-0.6511637568473816,-0.5009416937828064,-0.387054443359375,-0.2572428286075592,-0.14323730766773224
What is the angle of incidence at which light is completely polarized upon reflection from air to glass (with a refractive index μ)?, sin-1 \(\left( \frac { 1 }{ μ } \right) \), None of the other choices, tan-1 (μ), tan-1 \(\left( \frac { 1 }{ μ } \right) \),C,,val,-1.9267756938934326,-0.016901541174503796,-6.78125,-4.996874809265137,-4.488839149475098,-3.8828125,-3.426081657409668,-3.101822853088379,-2.707899332046509,-2.488476514816284,-2.17608904838562,-1.9258939027786255,-2.953125,-1.919531226158142,-1.6077009439468384,-1.271484375,-0.96563720703125,-0.8122761845588684,-0.6130947470664978,-0.5038360357284546,-0.3560870587825775,-0.23417076468467712
"What has been the objective of the World Meteorological Organization (WMO) regarding the reduction in the number of deaths caused by hydro-meteorological disasters during the decade 2010-2019, compared to the decade 1994-2003?", None of the other choices,80%,25%,50%,D,,val,-1.3719098567962646,-0.008468579362939906,-6.662499904632568,-5.244318008422852,-4.065716743469238,-3.2454144954681396,-2.6698546409606934,-2.3205997943878174,-1.987493872642517,-1.7307765483856201,-1.5315206050872803,-1.3730874061584473,-2.390625,-1.6484375,-1.0763657093048096,-0.781478226184845,-0.5974668264389038,-0.48243263363838196,-0.3572845458984375,-0.24504022300243378,-0.14269784092903137,-0.02758578583598137
When did Guru Angad Dev Ji pass away?, In 1552 A.D., In 1551 A.D., None of the other choices, In 1550 A.D.,A,,val,-2.258143424987793,-0.05018096499972873,-9.75,-9.75,-7.09375,-5.583333492279053,-4.8203125,-3.981250047683716,-3.35595703125,-2.9029018878936768,-2.542938232421875,-2.2621121406555176,-1.125,-1.125,-0.81640625,-0.5013020634651184,-0.340087890625,-0.1943359375,-0.08349609375,0.01827566884458065,0.1077880859375,0.1800130158662796
Which layer within an antral follicle is devoid of cells?, Stroma, Granulomas, Theca interna, Zona pellucida,A,,val,-3.2989661693573,-0.05408141261241475,-8.0625,-8.03125,-7.5625,-7.1640625,-5.96875,-5.455357074737549,-4.88720703125,-4.382595539093018,-3.960156202316284,-3.3001301288604736,-3.109375,-2.12109375,-1.7526041269302368,-1.4873046875,-1.0634765625,-0.9077845811843872,-0.789093017578125,-0.6599663496017456,-0.5431884527206421,-0.33905029296875
How can the positions of spiral tracers be used to trace the spiral arms in the sun's neighborhood?, Cepheid variable stars., massive stars., type Ia and type II supernovae., None of the other choices,B,,val,-2.9175124168395996,-0.03557941971755609,-9.84375,-8.59375,-7.096354007720947,-5.8671875,-5.012499809265137,-4.41796875,-3.9637277126312256,-3.5810546875,-3.2360026836395264,-2.918811082839966,-1.7734375,-1.4189453125,-1.0901693105697632,-0.8446044921875,-0.630078136920929,-0.4581705629825592,-0.3123604953289032,-0.1956787109375,-0.0847439244389534,0.02099609375
Who is known as the 'Gandhi of Chirawa'?, Seth Ghanshyam Das Birla, Master Pyarelal Gupta, Radha krishna Bohra, Sardar Harlal Singh,B,,val,-2.8133814334869385,-0.058612113197644554,-6.90625,-6.78125,-6.53125,-6.09375,-5.53125,-4.917410850524902,-3.9861111640930176,-3.633593797683716,-3.3152520656585693,-2.815579891204834,-2.59375,-2.1875,-1.8567708730697632,-1.224609375,-0.99462890625,-0.8129185438156128,-0.5621744990348816,-0.46513670682907104,-0.38112571835517883,-0.20229867100715637
Which of the following options help decrease moral hazard for the mortgage borrower?, Collateral, Borrower qualifications, Private mortgage insurance, Down payments,D,,val,-4.013136863708496,-0.050799200806436656,-11.1875,-10.5,-9.1875,-7.756249904632568,-7.348958492279053,-6.870535850524902,-5.723958492279053,-5.19921875,-4.744584560394287,-4.01820707321167,-3.46875,-2.7421875,-2.2526042461395264,-1.7101562023162842,-1.4983724355697632,-1.3092912435531616,-0.9901258945465088,-0.847949206829071,-0.7207918763160706,-0.44073015451431274
"Among the following organic compounds, which one will produce the highest response intensity when introduced into a flame ionization detector?", None of the other choices, Butane, Methane, Ethane,B,,val,-1.86505925655365,-0.016955084150487725,-7.25,-5.9453125,-4.927083492279053,-4.2021484375,-3.3757102489471436,-2.994290828704834,-2.663281202316284,-2.382927417755127,-2.1552734375,-1.8661208152770996,-2.4296875,-2.16015625,-1.463623046875,-1.05926513671875,-0.6846147179603577,-0.5152869820594788,-0.3861653506755829,-0.28156593441963196,-0.19415605068206787,-0.066650390625
Which of these characteristics is not included in Weber’s model of an effective government?, People must be treated equally., Government must employ skilled experts., There are rules within civil society., Skilled experts do not necessarily have to operate within an organized hierarchy.,D,,val,-3.7958526611328125,-0.04363049035784842,-10.125,-9.09375,-8.3984375,-7.09375,-6.6026787757873535,-5.746527671813965,-5.346875190734863,-4.682291507720947,-4.362980842590332,-3.800097703933716,-6.59375,-4.28125,-3.73046875,-2.7233073711395264,-2.4090402126312256,-1.9194878339767456,-1.704492211341858,-1.3489583730697632,-1.204326868057251,-0.89453125
What is the moisture percentage composition in green sand molding for steel casting?, None of the other choices, 2-3%, 5-6%, 4-5%,C,,val,-4.141702175140381,-0.055222695668538414,-12.5625,-10.6875,-9.375,-7.587500095367432,-6.971354007720947,-6.529017925262451,-5.723958492279053,-5.237500190734863,-4.826349258422852,-4.145808219909668,-3.578125,-3.140625,-2.6223957538604736,-1.932031273841858,-1.7200521230697632,-1.49609375,-1.1325411796569824,-0.9827636480331421,-0.8582652807235718,-0.6174504160881042
Which of the following carbohydrates is non-reducing?, Ribose 5 – phosphate, Sucrose, Maltose, Lactose,B,,val,-1.7690227031707764,-0.029483711719512938,-9.25,-7.359375,-5.4453125,-4.2626953125,-3.4761719703674316,-2.9287109375,-2.5157992839813232,-2.205169677734375,-1.9618734121322632,-1.76568603515625,-1.796875,-1.380859375,-0.9190266728401184,-0.66107177734375,-0.4993652403354645,-0.3852132260799408,-0.2768903374671936,-0.176849365234375,-0.0760362446308136,0.0714111328125
Which of the following statements about the use of generics and parameterized types in Java is incorrect?, Generics and parameterized types eliminate the need for down casts when using Java Collections.," When designing your own collections class (say, a linked list), generics and parameterized types allow you to achieve type safety with just a single class definition as opposed to defining multiple classes.", Generics provide type safety by shifting more type checking responsibilities to the compiler., All of the mentioned,C,,val,-1.8119332790374756,-0.020132591989305285,-9.0625,-6.375,-5.159375190734863,-4.166294574737549,-3.504340171813965,-3.177441358566284,-2.6824543476104736,-2.3219168186187744,-2.039215087890625,-1.8143582344055176,-1.546875,-1.0625,-0.623486340045929,-0.4088657796382904,-0.2481282502412796,-0.18698731064796448,-0.0921834334731102,-0.0093994140625,0.1177520751953125,0.2600504457950592
Which search algorithm sets a fixed depth limit on nodes?, Bidirectional search, Iterative deepening search, Depth-first search, None of the other choices,D,,val,-4.189955711364746,-0.06757993082846364,-10.375,-10.125,-8.166666984558105,-7.078125,-6.353125095367432,-5.8515625,-5.421875,-4.98046875,-4.57725715637207,-4.191015720367432,-2.703125,-2.07421875,-1.8541666269302368,-1.525390625,-1.1955077648162842,-0.9567057490348816,-0.7631138563156128,-0.614501953125,-0.4750434160232544,-0.3509765565395355
What is DMSO (Dimethyl sulphoxide) used for?, Alkylating agent, Chelating agent, Gelling agent, Cryoprotectant,D,,val,-2.1940948963165283,-0.042194132621471696,-8.25,-7.390625,-6.895833492279053,-4.931250095367432,-4.270182132720947,-3.782924175262451,-3.1193575859069824,-2.841015577316284,-2.5869140625,-2.190119743347168,-5.34375,-3.796875,-2.5453288555145264,-1.506933569908142,-1.2388509511947632,-1.0467355251312256,-0.7635633945465088,-0.65771484375,-0.5604581236839294,-0.37913161516189575
What is used to give feedback to the learning element?, Sensor, Actuators, Critic, None of the mentioned,C,,val,-3.9031448364257812,-0.06505241394042968,-8.5625,-7.828125,-7.510416507720947,-7.2265625,-6.96875,-6.095052242279053,-5.347098350524902,-4.76611328125,-4.300347328186035,-3.902148485183716,-2.359375,-1.71484375,-1.3294271230697632,-1.022216796875,-0.8311523199081421,-0.6776530146598816,-0.5088587999343872,-0.36273193359375,-0.2473415732383728,-0.14838866889476776
What kind of genetic material does the Variola virus contain?, Double stranded DNA, Single stranded RNA, Single stranded DNA, Double stranded RNA,A,,val,-2.592526435852051,-0.04115121326749287,-9.0,-8.15625,-7.6875,-6.15625,-5.214062690734863,-4.522135257720947,-4.0167412757873535,-3.5377197265625,-3.1584744453430176,-2.5929954051971436,-1.1875,-0.994140625,-0.6572672724723816,-0.465606689453125,-0.3131103515625,-0.2078654021024704,-0.1285051554441452,-0.0677642822265625,0.01398383267223835,0.19752086699008942
"During a concussion (a form of traumatic brain injury), the brain shifts within the cranial cavity, resulting in damage when it impacts the bony cavity walls. Ironically, one of the bone markings that can seriously harm the brain is the ________. This is ironic because one of its primary functions is to ________.", crista galli; attach to the dura matter holding the brain in place, styloid process; attach to and support the hyoid bone, perpendicular plate; separate the left and right halves of the nasal cavity, pterygoid processes; anchor important chewing muscles,A,,val,-2.551076889038086,-0.012949628878365918,-10.21875,-8.130208015441895,-6.704861164093018,-5.703775882720947,-4.891927242279053,-4.229166507720947,-3.674851179122925,-3.2381591796875,-2.8825790882110596,-2.5519189834594727,-3.7578125,-2.87109375,-2.219618082046509,-1.6603889465332031,-1.3158437013626099,-1.0625872611999512,-0.8590778112411499,-0.697371780872345,-0.5610752701759338,-0.4133135676383972
Which of these karyotypes is not viable for human survival to birth?," 47, X"," 45, Y", None of the other choices," 47, XY,+13",B,,val,-3.0673089027404785,-0.045107483863830566,-11.1875,-9.0,-6.3046875,-5.715624809265137,-4.9464287757873535,-4.666015625,-4.340277671813965,-3.8082387447357178,-3.556640625,-3.0706264972686768,-3.9375,-3.640625,-2.6484375,-2.198046922683716,-1.6244070529937744,-1.382049560546875,-1.1857367753982544,-0.8778187036514282,-0.7369588017463684,-0.4678955078125
