subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
elementary_mathematics,You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,1,B,test,-1.4980865716934204,-0.013618968833576548,-8.15625,-5.625,-4.126562595367432,-3.411057710647583,-2.775505542755127,-2.439453125,-2.1634681224823,-1.8708044290542603,-1.6940429210662842,-1.4990234375,-5.067708492279053,-2.6695964336395264,-1.586669921875,-1.1825796365737915,-0.8411362767219543,-0.6641845703125,-0.519892156124115,-0.36474609375,-0.2640787661075592,-0.12938016653060913
prehistory,Who was part of the elite class in the Olmec culture?,those who lived in the particularly rich farmlands,those who lived near resource-privileged areas,those who lived near the river where trading took place,those who lived near the volcanic rocks used in tool making,1,B,validation,-2.819167375564575,-0.048606334061458194,-8.3125,-8.09375,-7.854166507720947,-7.109375,-5.287760257720947,-4.671875,-4.17724609375,-3.7314453125,-3.370068311691284,-2.8182754516601562,-1.5859375,-1.041015625,-0.8404948115348816,-0.6107177734375,-0.3531087338924408,-0.2605329155921936,-0.18572998046875,-0.1221245676279068,-0.052490234375,0.0861409530043602
nutrition,"Infants born to mothers who are vegan may be at increased risk of deficiency of which nutrient?
",Vitamin C,Folate,Vitamin B12,Calcium,2,C,test,-2.026179313659668,-0.02383740369011374,-10.9375,-5.635416507720947,-4.465624809265137,-3.859375,-3.4192707538604736,-3.0745737552642822,-2.742788553237915,-2.4906249046325684,-2.245978832244873,-2.0268232822418213,-2.453125,-1.0813802480697632,-0.703125,-0.4824916422367096,-0.3229709267616272,-0.19429154694080353,-0.08417217433452606,-3.255208503105678e-05,0.07763671875,0.1533460170030594
jurisprudence,Why is it important to separate the concept of punishment from its justification?,Because its justification depends on the concept employed.,Because any definition of punishment should be value-neutral.,Because the concept of punishment is controversial.,Because the practice of punishment is separate from its justification.,1,B,test,-2.5187089443206787,-0.034036607355684846,-7.25,-6.140625,-5.760416507720947,-4.893750190734863,-4.5546875,-4.1238837242126465,-3.460069417953491,-3.205859422683716,-2.9630682468414307,-2.517387866973877,-1.0,-0.951171875,-0.82421875,-0.4476562440395355,-0.318359375,-0.2232142835855484,-0.0390625,0.0625,0.14772726595401764,0.2944711446762085
professional_law,"A young woman who attended a rock concert at a nightclub was injured when the band opened its performance with illegal fireworks that ignited foam insulation in the club's ceiling and walls. The young woman sued the radio station that sponsored the performance. The radio station has moved for summary judgment, claiming that it owed no duty to audience members. The evidence has established the following facts: The station advertised its sponsorship on the radio and in print, distributed free tickets to the concert, and in print, distributed free tickets to the concert, staffed the event with the station's interns to assist with crowd control, and provided a station disc jockey to serve as master of ceremonies. The master of ceremonies had the authority to stop or delay the performance at any time on the basis of any safety concern. The station knew or should have known that the band routinely used unlicensed, illegal fireworks in its performances. Should the court grant the radio station's motion for summary judgment? ","No, because there is sufficient evidence of knowledge and control on the part of the station to impose on it a duty of care to audience members.","No, because under respondeat superior, the radio station is vicariously liable for the negligent actions of the band.","Yes, because it is the band and the nightclub owners who owed audience members a duty of care.","Yes, because the conduct of the band in setting off illegal fireworks was criminal and setting off illegal fireworks was criminal and was a superseding cause as a matter of law.",0,A,validation,-2.1438615322113037,-0.0044663781921068825,-7.9835524559021,-6.395559310913086,-5.2615132331848145,-4.5154194831848145,-3.91398024559021,-3.4268434047698975,-3.0135691165924072,-2.6695685386657715,-2.3803811073303223,-2.143362045288086,-2.5760691165924072,-1.6745476722717285,-1.167382001876831,-0.8480802774429321,-0.6384868621826172,-0.47580865025520325,-0.3432213366031647,-0.2306871861219406,-0.12935170531272888,-0.028587581589818
high_school_mathematics,Solve for $x$:$$\left(\frac{1}{25}\right)^{x + 2} = 125^{-x}.$$,1,2,3,4,3,D,test,-1.424748420715332,-0.020066879165004676,-5.947916507720947,-4.682291507720947,-3.836805582046509,-3.019831657409668,-2.63037109375,-2.32771372795105,-1.9960088729858398,-1.791165828704834,-1.616850733757019,-1.4232029914855957,-4.791666507720947,-3.26171875,-2.4078776836395264,-1.654832124710083,-1.2957229614257812,-1.0391203165054321,-0.7764574289321899,-0.6192579865455627,-0.48245975375175476,-0.32277241349220276
nutrition,"Obesity increases the risk of endometrial cancer. Which hormone is thought to mediate this effect?
",Testosterone,Oestrogen,Insulin-like growth factor-1,Thyroxine,1,B,test,-1.604952335357666,-0.01763683885008424,-5.40625,-4.8203125,-4.104166507720947,-3.5390625,-3.1585936546325684,-2.7208659648895264,-2.3665597438812256,-2.093017578125,-1.8719346523284912,-1.6048860549926758,-0.92578125,-0.7177734375,-0.5638020634651184,-0.4142608642578125,-0.30186766386032104,-0.195892333984375,-0.1104300394654274,-0.04084014892578125,0.02109781838953495,0.115554079413414
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I let my children throw icicles at each other, since it's only water. Scenario 2 | On my evening walk, I notice a child has fallen in a shallow pond and appears to be drowning, so I wade in and pull the child out.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",1,B,test,-2.518193006515503,-0.009760438009750011,-7.93055534362793,-6.633223533630371,-5.798549175262451,-5.092105388641357,-4.545379161834717,-4.013157844543457,-3.5554568767547607,-3.132105827331543,-2.811781883239746,-2.517265558242798,-2.597222328186035,-1.7611019611358643,-1.3111398220062256,-0.9732444882392883,-0.7674304246902466,-0.5949645638465881,-0.46630698442459106,-0.3478218913078308,-0.2512510418891907,-0.14671967923641205
moral_disputes, Papadaki argues that,sexual objectification is not always wrong.,sexual objectification involves the total reduction of a person to an object.,sexual objectification is not explainable in Kantian terms.,sexual objectification involves the denial of a person's humanity.,3,D,test,-5.318890571594238,-0.18341001971014614,-8.9375,-8.9375,-8.9375,-8.9375,-8.9375,-8.9375,-7.90625,-7.90625,-7.90625,-5.312337398529053,-1.40625,-1.40625,-1.40625,-1.40625,-1.40625,-1.40625,-1.048828125,-1.048828125,-1.048828125,-0.5911458134651184
philosophy,"The study of reality in the broadest sense, an inquiry into the elemental nature of the universe and the things in it, is known as _____.",metaphysics,epistemology,quantum physics,axiology,0,A,dev,-2.3509271144866943,-0.022605068408525907,-10.375,-7.362500190734863,-6.076171875,-4.994318008422852,-4.266182899475098,-3.7375919818878174,-3.3193359375,-2.93996262550354,-2.616135835647583,-2.350938558578491,-2.12109375,-1.260278344154358,-0.7220001220703125,-0.4434148669242859,-0.2761317789554596,-0.13595043122768402,-0.02766723558306694,0.060690175741910934,0.13361534476280212,0.2313232421875
college_computer_science,"Consider the representation of six-bit numbers by two's complement, one's complement, or by sign and magnitude. In which representation is there overflow from the addition of the integers 011000 and 011000?",Two's complement only,Sign and magnitude and one's complement only,Two's complement and one's complement only,All three representations,3,D,test,-2.114208698272705,-0.01521013451994752,-7.859375,-5.949652671813965,-5.026785850524902,-4.3659539222717285,-3.8118488788604736,-3.3232758045196533,-2.9366958141326904,-2.6238982677459717,-2.350131034851074,-2.113985061645508,-2.244140625,-1.5698784589767456,-1.2063337564468384,-0.8874704241752625,-0.6741587519645691,-0.5111504793167114,-0.3820405900478363,-0.2740165591239929,-0.18108853697776794,-0.08153549581766129
human_sexuality,Castration in adulthood,will produce a high voice because of decreased testosterone production.,will produce a high voice because of the pain that accompanies the procedure.,will not produce a high voice because the larynx has already grown.,will not produce a high voice because castration does not affect testosterone production.,2,C,test,-5.213399410247803,-0.16817417452412267,-8.5625,-8.5625,-8.5625,-8.5625,-8.28125,-8.28125,-8.28125,-6.25,-6.25,-5.2109375,-1.03125,-1.03125,-1.03125,-1.03125,-0.8203125,-0.8203125,-0.8203125,-0.3489583432674408,-0.3489583432674408,-0.1044921875
professional_law,"A worker was injured when a machine he was using on the job malfunctioned. The worker brought a federal diversity action against both the machine's manufacturer and the company responsible for the machine's maintenance. At trial, the worker submitted a proposed jury instruction on negligence. The court did not accept the proposed instruction and instead gave a negligence instruction that the worker's attorney believed was less favorable and legally incorrect. The attorney did not object to the negligence instruction before it was given. The jury returned a verdict for the defendants. The worker has moved for a new trial on the ground that the court's negligence instruction was improper. What argument has the best chance of persuading the court to grant the motion?",Issues of law can be raised at any time.,The court's negligence instruction was incorrect and the worker's objection to it was preserved when he submitted his it was preserved when he submitted his proposed negligence instruction.,The court's negligence instruction was plain error that affected the worker's substantial rights.,The need for a formal objection to a judicial ruling in order to preserve an argument has been eliminated in the Federal Rules of Civil Procedure.,2,C,test,-1.6513044834136963,-0.004289102554321289,-5.966346263885498,-4.782986164093018,-4.048399448394775,-3.500723361968994,-3.025390625,-2.636385202407837,-2.330592155456543,-2.060730457305908,-1.8372673988342285,-1.6513707637786865,-2.153545618057251,-1.2736544609069824,-0.8345842957496643,-0.5925236344337463,-0.4102451205253601,-0.27925145626068115,-0.18079961836338043,-0.09142226725816727,-0.007242342457175255,0.08134561032056808
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I poured the motor oil into the cooker. Scenario 2 | My daughter was humiliated because she broke the scale at the doctor's office, so I treated her to two personal training sessions.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",1,B,test,-2.8588547706604004,-0.011813449465538844,-8.79296875,-7.556640625,-6.522135257720947,-5.77392578125,-5.130078315734863,-4.594400882720947,-4.057338237762451,-3.598968505859375,-3.2140910625457764,-2.858494520187378,-2.568359375,-1.88525390625,-1.5100911855697632,-1.1767044067382812,-0.9290469884872437,-0.7464755177497864,-0.5973208546638489,-0.464458703994751,-0.3455778658390045,-0.21786706149578094
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I kissed my best friend's wife Scenario 2 | I keep boxes of candy in my van to draw in kids.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",0,A,test,-3.016265630722046,-0.015709716826677322,-9.916666984558105,-8.18509578704834,-6.9934210777282715,-6.072716236114502,-5.37168550491333,-4.836738586425781,-4.2429518699646,-3.808330774307251,-3.3730385303497314,-3.0162312984466553,-3.2005207538604736,-2.316105842590332,-1.8135279417037964,-1.3551501035690308,-1.0477854013442993,-0.8547868132591248,-0.6759248971939087,-0.5416309833526611,-0.4008336365222931,-0.26983851194381714
machine_learning,"Statement 1| The SVM learning algorithm is guaranteed to find the globally optimal hypothesis with respect to its object function. Statement 2| After being mapped into feature space Q through a radial basis kernel function, a Perceptron may be able to achieve better classification performance than in its original space (though we can’t guarantee this).","True, True","False, False","True, False","False, True",0,A,test,-3.0151584148406982,-0.012615725585107524,-10.260416984558105,-8.067307472229004,-7.021381378173828,-6.081130027770996,-5.41943359375,-4.732371807098389,-4.227343559265137,-3.750676155090332,-3.377155065536499,-3.014535665512085,-2.9388020038604736,-2.170673131942749,-1.795435905456543,-1.4534255266189575,-1.1771812438964844,-0.9407020211219788,-0.7752577066421509,-0.6082082986831665,-0.4772002100944519,-0.3353646993637085
high_school_european_history,"This question refers to the following information.
Under the name of Chartist well-meaning inconsiderate men and other misled men have in very many cases, all over the country from the extreme west to the extreme east and from Brighton in the south to nearly the extreme north of Scotland, denounced every man who is not a working man, applied to him, the grossest epithets and most atrocious intentions and conduct, have threatened them with vengeance and in some places, have proposed plans for the seizure and division of their property—numbers of misled men and others of bad character, under the self-denomination of Chartists have gone from place to place and in the most violent manner disturbed and dispersed meetings of various kinds. Your Committee object to the words Household Suffrage since under any honest definition of the words—they would exclude a large majority of the men of these kingdoms—and because they have become reasonably obnoxious to the political portion of the working people.
—Excerpt of a letter from British social reformer Francis Place, written in 1842
Which of the following best characterizes the historical point of view of the document above?",The author must not be a radical reformer because he criticizes the Chartists.,The author must be a radical reformer because he criticizes the Chartists.,The author believes in universal male suffrage.,The author thinks the Chartists are the best part of the reform movement.,0,A,validation,-3.1175270080566406,-0.004855961071739316,-9.75951099395752,-8.110054016113281,-7.0285325050354,-6.173233509063721,-5.4703803062438965,-4.868772506713867,-4.338242530822754,-3.8675801753997803,-3.4617111682891846,-3.11780047416687,-2.7771739959716797,-2.0140116214752197,-1.5377037525177002,-1.1842020750045776,-0.925571620464325,-0.727102518081665,-0.5615192651748657,-0.4258466064929962,-0.30570799112319946,-0.18301762640476227
security_studies,Which of these is not a widely articulated or valid criticism of constructivism?,Constructivism lacks the ability to empirically prove its theories.,The rationalist foundations of constructivism create difficulties in applying its theories within a changing international system.,"By regarding the state as the most important actor, constructivism neglects internationalization in a globalized world.","Despite rejecting causality, constructivists simply replace the material trigger of causality with ideas.",1,B,test,-3.8036744594573975,-0.05071565945943197,-13.4375,-11.71875,-9.078125,-8.168749809265137,-6.785714149475098,-6.1708984375,-5.66493034362793,-4.767400741577148,-4.402669429779053,-3.803466796875,-5.1875,-4.265625,-2.7509765625,-2.2369141578674316,-1.5279017686843872,-1.287841796875,-1.0883246660232544,-0.794921875,-0.6671549677848816,-0.3982979953289032
professional_accounting,The Internal Revenue Code and the Regulations do not impose penalties on tax return preparers for which of the following?,Failure to sign a prepared tax return as a tax preparer.,Failure to provide a copy of a prepared tax return to the taxpayer.,Failure to notify a taxpayer about an inadvertent error on a tax return filed 10 years ago.,Failure to retain copies of prepared tax returns or a list of taxpayers for whom such returns were prepared for the last three years.,2,C,test,-2.462189197540283,-0.023904749490682362,-8.03125,-6.484375,-5.854166507720947,-5.390625,-4.671093940734863,-4.087890625,-3.6439731121063232,-3.2255859375,-2.873040199279785,-2.4629764556884766,-0.93359375,-0.888671875,-0.765625,-0.599151611328125,-0.46931153535842896,-0.3728230893611908,-0.2838483452796936,-0.1992950439453125,-0.1188829243183136,0.005615234375
marketing,Marketing that moves away from a transaction-based effort to a conversation (i.e. two-way dialogue) and can be described as a situation or mechanism through which marketers and a customer (e.g. stakeholders) interact usually in real-time is known as:,Digital marketing.,Interactive marketing.,Direct marketing.,Electronic marketing.,1,B,test,-3.1220669746398926,-0.017739016901363026,-9.3515625,-7.878472328186035,-7.0870537757873535,-6.206414699554443,-5.489583492279053,-4.884967803955078,-4.340188503265381,-3.8791065216064453,-3.475663661956787,-3.1219451427459717,-3.033203125,-2.1822917461395264,-1.7025669813156128,-1.3545435667037964,-1.0668436288833618,-0.8522275686264038,-0.6743953824043274,-0.5151179432868958,-0.3726862072944641,-0.2364427149295807
sociology,Socialization is:,the formation of an attachment bond between an infant and its carer,a tendency of social theorists to explain everything in terms of social causes,the process of becoming part of a society by learning its norms and values,the historical process by which societies change from traditional to modern,2,C,test,-4.015064239501953,-0.16060256958007812,-6.28125,-6.28125,-6.28125,-6.28125,-6.28125,-6.28125,-5.265625,-5.265625,-5.265625,-4.013020992279053,-1.9296875,-1.9296875,-1.9296875,-1.9296875,-1.9296875,-1.9296875,-0.66796875,-0.66796875,-0.66796875,-0.1575520783662796
high_school_statistics,"As reported on CNN, in a May 1999 national poll 43% of high school students expressed fear about going to school. Which of the following best describes what is meant by the poll having a margin of error of 5%?",It is likely that the true proportion of high school students afraid to go to school is between 38% and 48%.,Five percent of the students refused to participate in the poll.,Between 38% and 48% of those surveyed expressed fear about going to school.,There is a 0.05 probability that the 43% result is in error.,0,A,test,-2.260666608810425,-0.014399150374588693,-7.493750095367432,-6.559374809265137,-5.5,-4.768750190734863,-4.177499771118164,-3.6653645038604736,-3.2264509201049805,-2.866943359375,-2.559375047683716,-2.2606728076934814,-2.121875047683716,-1.621484398841858,-1.233496069908142,-0.9108337163925171,-0.6931591629981995,-0.5370401740074158,-0.4069719612598419,-0.29403990507125854,-0.19279243052005768,-0.08141610771417618
abstract_algebra,Compute the product in the given ring. (12)(16) in Z_24,0,1,4,6,0,A,test,-2.1289751529693604,-0.037350441280164216,-7.0,-4.916666507720947,-4.103125095367432,-3.7142856121063232,-3.4079861640930176,-3.1271307468414307,-2.849158763885498,-2.5955729484558105,-2.3502986431121826,-2.128854751586914,-3.875,-1.6848958730697632,-0.965136706829071,-0.5889369249343872,-0.3586696982383728,-0.18834339082241058,-0.06141075864434242,0.04443359375,0.13088810443878174,0.2118883579969406
college_medicine,"Myoclonic epilepsy and ragged-red fiber (MERRF) is an extremely rare disorder that affects neuromuscular systems. MERRF results from a mutation in mitochondrial DNA (mtDNA) that impairs protein synthesis, oxygen consumption, and energy production. When an affected male and a normal female reproduce, which of the following best predicts the expected phenotypic ratios of the offspring?",None of the offspring will be affected,All males and no females will be affected,Half of males and half of females will be affected,One-fourth of the offspring will be affected,0,A,test,-1.6370919942855835,-0.006445244071990487,-6.4140625,-5.017578125,-4.124349117279053,-3.49560546875,-3.014453172683716,-2.6514484882354736,-2.3214285373687744,-2.0445175170898438,-1.819700837135315,-1.6378281116485596,-1.75634765625,-1.12939453125,-0.81524658203125,-0.6021270751953125,-0.46428221464157104,-0.3530476987361908,-0.2535051703453064,-0.1669158935546875,-0.0823974609375,0.00396728515625
professional_psychology,"According to Piaget, children are ___________.",“Blank slates”,Less intelligent than adults,“Little scientists”,Shaped by culture,2,C,test,-2.8521103858947754,-0.06338023079766167,-8.5,-8.5,-7.015625,-6.09375,-5.4609375,-4.878125190734863,-4.221354007720947,-3.6629464626312256,-3.207977294921875,-2.8515353202819824,-1.21875,-1.21875,-0.8466796875,-0.6940104365348816,-0.59326171875,-0.4664062559604645,-0.3653971254825592,-0.2865513265132904,-0.19287109375,-0.0876736119389534
professional_law,"Mary, a wealthy St. Petersburg widow, executed her first and only will on May 15, 1990 and died on August 18, 1990. Her will provided that her estate be divided equally between her only child, Joan, and the Salvation Army of Largo. How will Mary's estate actually be distributed?",100% to Joan.,100% to Joan if she files a timely petition requesting that the devise to the Salvation Army be avoided.,50% to Joan and 50% to the Salvation Army.,"50% to Joan and the income from the remaining 50% to Joan for life, remainder to the Salvation Army, if Joan files a timely petition protesting the devise to the Salvation Army.",2,C,test,-2.098635673522949,-0.010762234223194611,-8.504464149475098,-6.6015625,-5.497767925262451,-4.614955425262451,-3.923102617263794,-3.4115512371063232,-3.0007972717285156,-2.650913715362549,-2.363947868347168,-2.0981338024139404,-3.533482074737549,-2.55078125,-1.8340425491333008,-1.3688288927078247,-1.0694772005081177,-0.849889874458313,-0.6781740784645081,-0.535645604133606,-0.4051969051361084,-0.2607842981815338
professional_law,"An investor owned a building in a city. This was the only piece of real estate that the investor owned. The three-story building had a store on the ground floor and apartments on the other two floors. The investor entered into a leasehold agreement with a tenant, who would lease the first floor, where she planned to open a sporting goods store. After identifying the parties, the operative words of the lease were as follows: ""Landlord hereby agrees to lease for the three years the first floor of his building in the city to tenant, reserving unto said landlord annual rental in the sum of $12,000 payable in advance in monthly installments of $1,000. ""After the tenant took possession and the investor accepted her rent payment for the first floor of the building, which of the following most accurately describes the legal relationship between the parties?",A tenancy at will was created.,A periodic tenancy from month-to-month was created.,A periodic tenancy from year-to-year was created.,The tenant's equitable three-year term became a legal three-year term.,3,D,test,-2.027778387069702,-0.004650867860251611,-7.580882549285889,-5.905803680419922,-5.009315013885498,-4.297544479370117,-3.731142282485962,-3.2533481121063232,-2.861680269241333,-2.5230050086975098,-2.259718894958496,-2.0287363529205322,-2.474264621734619,-1.6587053537368774,-1.213726282119751,-0.8884373307228088,-0.671394407749176,-0.5038986802101135,-0.3782113492488861,-0.2679770290851593,-0.17387282848358154,-0.06897984445095062
