id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
7695,https://ymnik.kz/tests_old/geography/?v=133,Social Science,Geography,High School,Russian,Geography (High School in rus),Передвигающиеся под воздействием течения простейшие организмы:,Кораллы.,Бентос.,Водоросли.,Планктон.,Нектон.,D,test,-3.1295297145843506,-0.03365085714606829,-10.1875,-9.1875,-8.166666984558105,-6.599999904632568,-5.942708492279053,-5.470982074737549,-4.498263835906982,-4.062304496765137,-3.697176933288574,-3.128380298614502,-1.7109375,-1.193359375,-0.8912760615348816,-0.5138183832168579,-0.3962809145450592,-0.3114885687828064,-0.1613226979970932,-0.09089355170726776,-0.007701526861637831,0.14492562413215637
12366,https://itest.kz/kz/endless,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),"Тахауи Ахтановтың соғысты мүлде басқа қырынан көрсеткен, взвод командирі Ержан, қатардағы жауынгерлер Зеленин, Көжек деген кейіпкерлері бар шығармасы",«Күй аңызы»,«Боран»,«Дала сыры»,«Қаһарлы күндер»,,D,test,-2.856022357940674,-0.01543795869157121,-10.520833015441895,-8.112980842590332,-6.884868621826172,-5.845552921295166,-5.23193359375,-4.575921535491943,-4.081597328186035,-3.563917875289917,-3.199319839477539,-2.8554940223693848,-3.1328125,-2.08203125,-1.6022820472717285,-1.182558536529541,-0.9369182586669922,-0.7289146780967712,-0.5868476033210754,-0.4365222752094269,-0.32206252217292786,-0.18293175101280212
8392,https://oltest.kz/tests/gosudarstvo_i_pravo/,"Social Science





","Jurisprudence, state and law",University,Russian,Jurisprudence (Professional & University in rus),"Изменение имени и (или) фамилии ребенка может быть произведено только с его согласия при достижении им возраста
","16 лет
","14 лет
","19 лет
","7 лет
","10 лет
",A,test,-2.2551496028900146,-0.016829474648432947,-8.9375,-6.7421875,-5.457589149475098,-4.9375,-4.234375,-3.743861675262451,-3.34033203125,-2.847142219543457,-2.577450752258301,-2.2552692890167236,-1.65234375,-1.2919921875,-0.7817557454109192,-0.5982666015625,-0.426849365234375,-0.3365042507648468,-0.24207305908203125,-0.1139044538140297,-0.0383242666721344,0.0548451729118824
6040,https://oltest.kz/tests/obshcheobrazovatelnye_discipliny/,Others,General education disciplines,University,Russian,General Education Disciplines (Professional & University in rus),"Какими свойствами обладают антиалиментарные соединения:
","замедляют обмен нутриентов
","ускоряют обмен нутриентов
","стабилизируют обмен нутриентов
","участвуют в обмене нутриентов
","синтезируют их обмен
",B,test,-4.178628921508789,-0.04803021748860677,-8.125,-7.828125,-7.166666507720947,-6.765625,-6.462500095367432,-5.872395992279053,-5.40625,-5.056640625,-4.63368034362793,-4.175634860992432,-2.15625,-1.8515625,-1.51171875,-1.1502685546875,-0.8758789300918579,-0.6602376103401184,-0.4777483344078064,-0.33843994140625,-0.2031792551279068,-0.07817383110523224
19495,https://ymnik.kz/tests_old/russian/?v=56,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),Укажите значение фразеологизма отбиться от рук.,Не задумываться.,Не слушаться.,Баловаться.,Исчезнуть.,Зазнаваться.,B,test,-3.2126431465148926,-0.03917857495749869,-11.375,-10.0625,-8.375,-7.631249904632568,-6.125,-5.5244140625,-4.970920085906982,-4.08203125,-3.7456867694854736,-3.2127859592437744,-2.875,-2.2734375,-1.259765625,-1.0099976062774658,-0.6949549913406372,-0.5844039916992188,-0.4958156943321228,-0.3456531763076782,-0.2680206298828125,-0.0977565199136734
16833,https://oltest.kz/tests/filosofiya_i_psihologiya/,Humanities,Philosophy and psychology,University,Russian,Philosophy and Psychology (Professional & University in rus),"Философия Маркса
","натурализм
","идеализм
","материализм
","целостное мировоззрение
",плюрализм,C,test,-2.3805105686187744,-0.05951276421546936,-5.0625,-5.0625,-5.0625,-4.984375,-4.083333492279053,-4.083333492279053,-3.421875,-3.421875,-2.815624952316284,-2.3782551288604736,-0.75390625,-0.75390625,-0.75390625,-0.1943359375,0.0032552082557231188,0.0032552082557231188,0.12353515625,0.12353515625,0.21835938096046448,0.3004557192325592
16211,https://itest.kz/ru/endless,Humanities,Math_Literacy,High School,Russian,Math Literacy (High School in rus),"Найдите площадь треугольника \(ADF\), если площадь треугольника \(APR\) равна \(Q\), \(DF\) параллельна \(PR\). Высота треугольника \(APR\), проведенная из точки \(A\), в \(4\) раза меньше высоты треугольника \(ADF\), проведенной из \(A\).",\(16Q\),\(4Q\),\(\cfrac14Q\),\(6Q\),,A,test,-1.5093902349472046,-0.008028671462485131,-7.619791507720947,-5.760817527770996,-4.456250190734863,-3.6247105598449707,-2.9928767681121826,-2.5165300369262695,-2.1640217304229736,-1.8925137519836426,-1.679595947265625,-1.5092021226882935,-3.2395832538604736,-2.396634578704834,-1.6649672985076904,-1.2249292135238647,-0.9551023840904236,-0.7607146501541138,-0.6127083897590637,-0.4916520416736603,-0.3864012658596039,-0.27569979429244995
6498,https://ymnik.kz/tests_old/geography_kz/?v=35,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),География ғылымы... саладан тұрады:,3,4,1,5,2,E,test,-4.584694862365723,-0.0664448530777641,-12.6875,-12.4375,-11.5,-9.09375,-8.34375,-7.767857074737549,-6.425347328186035,-5.885937690734863,-5.412286758422852,-4.582575798034668,-11.0625,-7.078125,-5.739583492279053,-3.620898485183716,-3.0333659648895264,-2.59716796875,-1.9893120527267456,-1.768310546875,-1.5818092823028564,-1.2625826597213745
3729,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),"На полную нейтрализацию 10,2 г одноосновной предельной карбоновой кислоты потребовалось 40 г 10%-ного раствора гидроксида натрия.
Межклассовый изомер пропионовой кислоты",Этиловый эфир пропионовой кислоты,Пропилметаноат,Капроновая кислота,Этилацетат,,A,test,-2.3472111225128174,-0.012826290286955287,-10.962499618530273,-8.625,-6.776041507720947,-5.572265625,-4.541165828704834,-3.883694648742676,-3.378065347671509,-2.974609375,-2.6537973880767822,-2.348038911819458,-2.5999999046325684,-1.709375023841858,-1.3123698234558105,-0.9742981195449829,-0.721815824508667,-0.5770421028137207,-0.4536302387714386,-0.34300267696380615,-0.23753024637699127,-0.10780921578407288
17389,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),"Толқын көзінің тербеліс теңдеуі \(x=2\sin200\pi t\), тербелістердің ортада таралу жылдамдығының модулі \(400\) м/с. Толқын ұзындығы",\(4π\) м,\(4\) м,\(\frac π2\) м,\(2π\) м,,B,test,-1.9520972967147827,-0.011903032297041358,-7.614583492279053,-6.583333492279053,-5.507401466369629,-4.593437671661377,-3.769775390625,-3.2491261959075928,-2.830155849456787,-2.4480793476104736,-2.1913414001464844,-1.9520282745361328,-4.049479007720947,-2.8177082538604736,-2.0421977043151855,-1.5401611328125,-1.1832466125488281,-0.9726465940475464,-0.8021268248558044,-0.6420156359672546,-0.5212894678115845,-0.38303565979003906
19375,https://ymnik.kz/tests_old/russian/?v=41,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),"Укажите вид придаточного предложения в сложноподчиненном предложении.Люблю, когда молодой лиственный лес оденется зеленою листвою.",Изъяснительное.,Определительное.,Обстоятельственное места.,Обстоятельственное времени.,Обстоятельственное причины.,A,test,-2.9472532272338867,-0.020049341681863175,-10.333333015441895,-8.416666984558105,-7.099999904632568,-6.346153736114502,-5.397058963775635,-4.807812690734863,-4.268172740936279,-3.6993634700775146,-3.339550733566284,-2.947796106338501,-1.8802083730697632,-1.5299478769302368,-1.211328148841858,-0.9873046875,-0.7455480098724365,-0.6144043207168579,-0.5034816861152649,-0.36335358023643494,-0.27324217557907104,-0.15676701068878174
2752,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),Орташа молекулалық массасы 103950 болатын полипропиленнің полимерлену дәрежесі:,2500,2450,2475,2381,,C,test,-2.011813163757324,-0.017494027510933253,-8.34375,-6.510416507720947,-5.181250095367432,-4.481971263885498,-3.7624080181121826,-3.341015577316284,-2.94913387298584,-2.531611680984497,-2.2799997329711914,-2.0117645263671875,-1.8177083730697632,-1.41796875,-0.899035632610321,-0.681687593460083,-0.4925968050956726,-0.3726135194301605,-0.27382493019104004,-0.1486952006816864,-0.05361735075712204,0.07068230211734772
19347,https://itest.kz/ru/endless,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),Восклицательный знак надо поставить в конце предложения,"Вишь, прихоти какие завелись",Неужто на дуэль вас вызвать захотят,Который же из двух,Ещё ли не сломил молчания печати,,A,test,-2.276728391647339,-0.02616929185801539,-9.3125,-6.75,-5.791666507720947,-4.84375,-4.178124904632568,-3.73046875,-3.3794643878936768,-3.03662109375,-2.7634549140930176,-2.2760121822357178,-2.28125,-1.546875,-0.9508463740348816,-0.649169921875,-0.46464842557907104,-0.31982421875,-0.1692243367433548,-0.0523681640625,0.0432942695915699,0.19486860930919647
15746,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),"Выполните сложение дробей.
\(\frac{c+d}{c^2-b^2}+\frac{c-d}{b^2-c^2}\)",\(\frac{2c}{c^2-b^2}\),\(\frac{2d}{c^2-b^2}\),\(\frac{c+d}{c^2-b^2}\),\(\frac{2c-2d}{c^2-b^2}\),,B,test,-1.3150237798690796,-0.014775548088416624,-6.510416507720947,-4.966517925262451,-3.8203125,-3.240513324737549,-2.6501736640930176,-2.19482421875,-1.9401562213897705,-1.676522135734558,-1.4737789630889893,-1.3144514560699463,-3.4895832538604736,-1.8682512044906616,-1.178022861480713,-0.9131382703781128,-0.6821424961090088,-0.5201637744903564,-0.422119140625,-0.3166840672492981,-0.20798562467098236,-0.10410287976264954
20831,https://oltest.kz/tests/obshchestvennye_nauki/,"Social Science





",Social Science,University,Russian,Social Science (Professional & University in rus),"Процессы выработки, принятия и реализации решений, затрагивающих жизнь мирного сообщества называют ...
","международными отношениями
","отношениями сотрудничества
","нет правильного ответа
","отношениями соперничества
","мировой политикой
",E,test,-3.2696633338928223,-0.02421972839920609,-9.96875,-8.4609375,-7.822916507720947,-6.642361164093018,-5.9928975105285645,-5.345552921295166,-4.544677734375,-4.122612953186035,-3.7548828125,-3.266127824783325,-2.890625,-2.5703125,-2.0,-1.3815629482269287,-1.1174968481063843,-0.9210850596427917,-0.6829519271850586,-0.5562871098518372,-0.4395256042480469,-0.26415950059890747
17325,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),"Резисторлардың кедергілері \(R_1=2\) Ом, \(R_2=10\) Ом, \(R_3=15\) Ом, \(R_4=4\) Ом. Ал амперметрдің көрсетуі \(2\) A болса, онда тізбектегі ток күші:",\(3\) А,\(5\) А,\(6\) А,\(4\) А,,B,test,-1.7364959716796875,-0.01015494720280519,-7.8839287757873535,-5.927083492279053,-4.891983509063721,-4.148697853088379,-3.4524054527282715,-2.8932785987854004,-2.5211758613586426,-2.1925594806671143,-1.9388008117675781,-1.7373669147491455,-3.6997768878936768,-2.3416666984558105,-1.6810859441757202,-1.2816630601882935,-0.9995614886283875,-0.8066074252128601,-0.674923300743103,-0.5493954420089722,-0.4379449486732483,-0.3157903552055359
6033,https://oltest.kz/tests/obshcheobrazovatelnye_discipliny/,Others,General education disciplines,University,Russian,General Education Disciplines (Professional & University in rus),"Что нужно сразу же сделать, если присосался клещ?
","оторвать насекомое пальцами и прижечь ранку
","раздавить присосавшиеся насекомое
","смазать насекомое горячим маслом
","смыть насекомое водой
","смазать насекомое йодом
",E,test,-2.6297309398651123,-0.030938011057236616,-9.75,-9.09375,-6.25,-5.5625,-4.660714149475098,-4.2294921875,-3.8810763359069824,-3.294034004211426,-3.0465495586395264,-2.626708984375,-2.734375,-1.87890625,-0.9056396484375,-0.684863269329071,-0.4109235405921936,-0.30462646484375,-0.2156575471162796,-0.08056640625,-0.01656087301671505,0.1133161261677742
9546,https://itest.kz/kz/endless,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),Үнді-иран тілінде «арбада тұрғандар» деп аталғандар:,малшылар,жауынгерлер,абыздар,егіншілер,,B,test,-2.8322553634643555,-0.03371732575552804,-6.546875,-6.28125,-6.080357074737549,-5.465624809265137,-5.0390625,-4.377604007720947,-3.97265625,-3.4683594703674316,-3.1939809322357178,-2.833320379257202,-5.28125,-3.1328125,-2.4715402126312256,-1.857812523841858,-1.5585530996322632,-1.1980143785476685,-1.0037626028060913,-0.774487316608429,-0.6532981395721436,-0.48005858063697815
19092,https://itest.kz/ru/endless,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),"Раздел науки о языке, занимающийся нормами произношения, их обоснованием и установлением",Морфология,Графика,Фонетика,Орфоэпия,,B,test,-2.206672191619873,-0.018860446082221136,-7.828125,-6.55859375,-5.296875,-4.568359375,-4.0703125,-3.611328125,-3.143275737762451,-2.7551422119140625,-2.4498798847198486,-2.2052810192108154,-1.609375,-1.031494140625,-0.68157958984375,-0.4963836669921875,-0.37913817167282104,-0.2953592836856842,-0.2096383273601532,-0.11336517333984375,0.0005764431552961469,0.11223755031824112
5051,https://oltest.kz/tests/ekonomika_i_predprinimatelstvo/,"Social Science





",Economics and Entrepreneurship ,University,Russian,Economics and Entrepreneurship (Professional in rus),"Основа платежеспособности и ликвидности предприятия — это ...
","материалоотдача
","ликвидность баланса
",материалоемкость,себестоимость,"фондоотдача
",B,test,-2.4199941158294678,-0.025744618253504978,-9.5625,-6.354166507720947,-5.6015625,-4.630208492279053,-4.316964149475098,-3.862847328186035,-3.5472655296325684,-3.0048015117645264,-2.787409782409668,-2.4202799797058105,-1.453125,-1.02734375,-0.76324462890625,-0.4272867739200592,-0.3160226047039032,-0.1637641042470932,-0.10715331882238388,0.0047810873948037624,0.06090369448065758,0.15981444716453552
22821,https://ymnik.kz/tests_old/worldhistory/?v=55,Humanities,World_History,High School,Russian,World History (High School in rus),Движущими силами буржуазных революций были:,Виконты,Дворяне,Рыцари,Трудовые элементы городов,Священнослужители,D,test,-2.4849343299865723,-0.032696504341928584,-7.5,-7.171875,-6.802083492279053,-5.106249809265137,-4.59375,-4.176339149475098,-3.4973957538604736,-3.203906297683716,-2.9378550052642822,-2.486475944519043,-3.21875,-2.12109375,-1.5755208730697632,-1.081445336341858,-0.913330078125,-0.7786341905593872,-0.5467936396598816,-0.43352049589157104,-0.3340953588485718,-0.14838115870952606
11111,https://ymnik.kz/tests_old/kazakh_kz/?v=29,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),"Мыс, ""міс"" - шылауларының мағынасын анықтаңыз.",Болжалдық.,Күшейткіш.,Лептік.,Сұраулық.,Шектік.,A,test,-3.3647170066833496,-0.043137397521581404,-8.78125,-7.640625,-6.942708492279053,-6.49609375,-5.932812690734863,-5.317708492279053,-4.7723212242126465,-4.30517578125,-3.9060330390930176,-3.3627915382385254,-1.96875,-1.494140625,-1.2571614980697632,-0.96527099609375,-0.737841784954071,-0.5567626953125,-0.4087262749671936,-0.290252685546875,-0.1907280832529068,-0.0559663325548172
4491,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),При сжигании углеводорода образуются \(CO_2 \;и \;H_2O\) в мольном соотношении 4:5. Молекулярная формула вещества,Октан,Бутан,Гексан,Пропан,,B,test,-1.549882173538208,-0.010064169958040312,-6.4296875,-5.3671875,-4.541666507720947,-3.6608455181121826,-3.1080729961395264,-2.6482813358306885,-2.2186360359191895,-1.9592159986495972,-1.75298273563385,-1.5491474866867065,-3.08203125,-1.90966796875,-1.3797200918197632,-0.9825906157493591,-0.7902570366859436,-0.6540210247039795,-0.5197896361351013,-0.4295995235443115,-0.3500446379184723,-0.25102055072784424
21819,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),"«Конгресстің арнайы сессиясы аяқталғанша мен біздің ұлттық науқанымызда бұдан былай халықты жұмыспен қамтамасыз ету жөнінде екі шараны ұсынбақшымын. Менің бірінші ұсынысым, конгресс қысқартылған жұмыс жағдайында жеткілікті жалақыны сақтай отырып, бүкіл индустрия саласы бойынша жұмыс аптасын қысқартуды келісімді жүргізуге және әділетсіз бәсеке мен өнімдерді артық шығаруды болдырмауға қажетті механизмдерді жасауды қамтамасыз етсе. Келесі ұсынысым атқарушы билікке «тікелей жұмыспен қамтамасыз етудің» кең көлемді бағдарламасына кірісуге мүмкіндік береді. Зерттеулер аса маңызды, әрі қолайлы қоғамдық құрылысқа 3300 млн доллар жұмсауға, сөйтіп, барынша көп адамдарға жұмыс беруге мүмкіндік бар екендігіне менің көзімді жеткізіп отыр».
Мәтінде сипатталған тарихи кезеңнің уақытын анықтаңыз:",Азамат соғысы жылдары,1914-1918 жылдар бірінші дүниежүзілік соғыс кезі,1929-1933 жылдардағы экономикаық дағдарыс жылдары,1905-1907 жылдар революция кезі,,C,test,-1.869312047958374,-0.002884740814750577,-6.994791507720947,-5.572559833526611,-4.777272701263428,-4.128692150115967,-3.58156156539917,-3.071972608566284,-2.6686668395996094,-2.3387680053710938,-2.078278064727783,-1.8687727451324463,-2.3283419609069824,-1.7007704973220825,-1.2857954502105713,-0.9747598767280579,-0.7651793956756592,-0.6132413148880005,-0.4940605163574219,-0.3856422007083893,-0.2857688069343567,-0.1851557195186615
5568,https://oltest.kz/tests/finansy_i_kredit/,"Social Science





","Finance, credit, insurance ",University,Russian,Finance (Professional & University in rus),"Приказ кредитора должнику об уплате указанной суммы денег третьему лицу:
","чек
","аккредитив
","простой вексель
","цессия
","переводной вексель
",E,test,-3.682828664779663,-0.03541181408441984,-12.6875,-10.520833015441895,-8.756250381469727,-7.421875,-6.532986164093018,-6.1328125,-5.44140625,-4.7130303382873535,-4.1414794921875,-3.6830241680145264,-2.53125,-2.2942707538604736,-1.725000023841858,-1.2659388780593872,-0.9856770634651184,-0.8826904296875,-0.70465087890625,-0.5592041015625,-0.4327850341796875,-0.3035346269607544
9384,https://itest.kz/kz/endless,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),Қытай әскері Қазақстан шекарасына жетті:,Тобыл өзені арқылы,Іле өзенін бойлай,Сырдарияны бойлай,Ертіс өзенін бойлай,,B,test,-1.648671269416809,-0.021693043018642225,-4.6875,-3.8697917461395264,-3.5,-3.2232143878936768,-2.909722328186035,-2.7476563453674316,-2.4072265625,-2.107142925262451,-1.85223388671875,-1.6494208574295044,-0.79296875,-0.4680989682674408,-0.30126953125,-0.1820591539144516,-0.0997178852558136,-0.06562499701976776,-0.00390625,0.0498046875,0.09765625,0.1623263955116272
16675,https://oltest.kz/tests/filosofiya_i_psihologiya/,Humanities,Philosophy and psychology,University,Russian,Philosophy and Psychology (Professional & University in rus),"Процесс воздействия на сознание личности:
","внушение
",идентификация,заражение,убеждение,"подражание
",D,test,-3.8398983478546143,-0.05119864463806152,-9.6875,-9.6875,-8.25,-7.697916507720947,-6.7734375,-6.059374809265137,-5.393229007720947,-4.828125,-4.31982421875,-3.8407084941864014,-1.171875,-1.171875,-1.041015625,-0.705810546875,-0.52374267578125,-0.4061035215854645,-0.2671305239200592,-0.1514020711183548,-0.000640869140625,0.153076171875
9879,https://ymnik.kz/tests_old/history/?v=25,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),Главным принципом административного устройства казахской степи согласно реформ 1867-1868г.г. было:,Административное правление в Казахстане на началах народного самоуправления.,Социально-экономические нововведения.,Неразделенность военной и гражданской властей.,Повышение материального благосостояния казахов.,Расшатывание патриархально-родового уклада жизни кочевников.,C,test,-2.273824453353882,-0.0174909573334914,-8.552083015441895,-7.75,-6.417187690734863,-5.278244972229004,-4.298253536224365,-3.764843702316284,-3.3231148719787598,-2.8531901836395264,-2.5748941898345947,-2.2737858295440674,-5.822916507720947,-3.69921875,-2.392773389816284,-1.8319185972213745,-1.3660098314285278,-1.1244385242462158,-0.9351435303688049,-0.7382993102073669,-0.6097819209098816,-0.44636085629463196
