question,choice_A,choice_B,choice_C,choice_D,answer,category,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
At what point should you cease the preparation of a sterile field for an operating room surgical procedure?, When you have completely finished the field. You can’t stop the set up until it is all done., When you have accidentally poured a sterile liquid into a container that was placed on the sterile field., When you have put a sterile item only 1 inch and not 2 inches from the edge of the sterile field., When you turn your upper body only away from the field because the surgeon calls your name.,D,,val,-2.8391294479370117,-0.03154588275485569,-7.34375,-6.989583492279053,-6.050000190734863,-5.189732074737549,-4.659722328186035,-4.442187309265137,-3.9830729961395264,-3.546875,-3.1610107421875,-2.8381075859069824,-2.0625,-0.984375,-0.6415039300918579,-0.4613211452960968,-0.3282606303691864,-0.25969237089157104,-0.14202880859375,-0.0424979068338871,0.0531463623046875,0.1548801064491272
Which of the following statements regarding reproduction in Gymnosperms is inaccurate?, Microsporangium contain microsporocytes that undergo meiosis to form microspores, None of the other choices, Microgametophyte is also called as Pollen grain, Microspores further undergo reduction division to form microgametophyte,D,,val,-2.535456657409668,-0.03092020313914229,-9.4375,-8.6875,-8.15625,-5.953125,-5.278645992279053,-4.662388324737549,-3.649793863296509,-3.287890672683716,-2.991787910461426,-2.53330397605896,-4.65625,-2.87109375,-2.2578125,-1.535546898841858,-1.26025390625,-1.0594308376312256,-0.7834201455116272,-0.6722656488418579,-0.5791903138160706,-0.3188101053237915
The dry cleaning of clothing generates air pollutants. How does this affect the equilibrium price in the market for dry cleaning services?," is too high to be optimal, and equilibrium quantity is too low.", and output are too low to be optimal.," is too low to be optimal, and equilibrium quantity is too high.", and output are too high to be optimal.,C,,val,-2.9542396068573,-0.027354070433863887,-8.84375,-8.03125,-7.083333492279053,-6.03993034362793,-5.349431991577148,-4.775240421295166,-4.09228515625,-3.705078125,-3.371875047683716,-2.95357084274292,-2.24609375,-1.822265625,-1.443359375,-0.9183485507965088,-0.6835493445396423,-0.518141508102417,-0.337371826171875,-0.238037109375,-0.15485839545726776,-0.04464589059352875
Who was the winner of the 2018 Formula-1 Chinese Grand Prix?, Valtteri Bottas, None of the other choices, Daniel Ricciardo, Kimi Raikkonen,C,,val,-2.3498618602752686,-0.03671659156680107,-11.8125,-8.21875,-6.543749809265137,-5.84375,-4.70068359375,-3.9066405296325684,-3.588778495788574,-3.061110258102417,-2.6600584983825684,-2.3484747409820557,-3.546875,-1.4348958730697632,-0.8950439691543579,-0.74005126953125,-0.5110931396484375,-0.3638549745082855,-0.3064519762992859,-0.19244854152202606,-0.0769449844956398,0.028155159205198288
What type of epithelium lines the inner walls of blood vessels?, Ciliated columnar epithelium, None of the other choices, Cuboidal epithelium, Columnar epithelium,B,,val,-2.100701093673706,-0.03182880444960161,-8.4375,-6.734375,-5.916666507720947,-5.03125,-4.322916507720947,-3.810825824737549,-3.025499105453491,-2.7267823219299316,-2.480302333831787,-2.098717212677002,-1.515625,-1.23828125,-1.0455728769302368,-0.696704089641571,-0.57562255859375,-0.4756033718585968,-0.3102349042892456,-0.24171142280101776,-0.1714422106742859,-0.020066481083631516
"You need to use a grinder, cut-off saw, cartridge tool or nail gun. What type of eye protection will you need? Give one answer", Welding goggles, Impact-resistant goggles or full face shield, None of the other choices, Reading glasses or sunglasses,B,,val,-3.803955554962158,-0.035550986494973444,-12.1875,-10.274999618530273,-8.66796875,-7.613636493682861,-6.6941962242126465,-6.11279296875,-5.383223533630371,-4.777521133422852,-4.255273342132568,-3.8044912815093994,-5.046875,-3.6390624046325684,-2.6875,-2.1207387447357178,-1.720703125,-1.485687255859375,-1.2130191326141357,-0.9990456104278564,-0.81689453125,-0.6530587077140808
"The plaintiff witnesses the defendant's child fall into the water and rescues the child from drowning. Subsequently, the defendant promises to pay him ₹ 1,000. Which of the following statements is correct in this context?", The defendant's liability arises in quasi contract., The defendant is liable because the agreement is not nudum pactum, The defendant's liability arises in contingent contract, The defendant is not liable as there is no contract,B,,val,-2.057041883468628,-0.012697789404127333,-8.515625,-6.61805534362793,-5.486778736114502,-4.46484375,-3.7571332454681396,-3.332899332046509,-2.8975830078125,-2.6096463203430176,-2.305354356765747,-2.0569498538970947,-2.109375,-1.3190103769302368,-0.9384577870368958,-0.6428629755973816,-0.46128779649734497,-0.34455475211143494,-0.22309112548828125,-0.14166259765625,-0.05245450511574745,0.05472465232014656
What is the cause of Itai-itai disease?, Cu poisoning, Hg poisoning, None of the other choices, Cd poisoning,B,,val,-2.4346818923950195,-0.054104042053222653,-13.0,-10.265625,-7.552083492279053,-5.8916015625,-4.821875095367432,-4.046875,-3.47314453125,-3.0428466796875,-2.706475257873535,-2.4358277320861816,-2.203125,-1.5,-0.9985859990119934,-0.7187881469726562,-0.5435851812362671,-0.4245046079158783,-0.3119637668132782,-0.20412063598632812,-0.0998433455824852,0.01873474195599556
What method(s) do business economists use to maintain an optimum inventory level?, Simple simulation exercises, ABC Analysis, Mathematical models, All of the above,D,,val,-4.066461563110352,-0.05350607319882041,-8.375,-8.3125,-7.65625,-7.506249904632568,-6.861607074737549,-6.470703125,-6.067708492279053,-5.135298252105713,-4.743326663970947,-4.069510459899902,-3.53125,-2.8984375,-2.1015625,-1.9187500476837158,-1.6010044813156128,-1.438232421875,-1.2747938632965088,-0.9829989075660706,-0.8516032099723816,-0.624755859375
What is the function of the DC bus voltage control in a VFD?, To control the motor’s speed, To control the VFD’s output voltage, To control the VFD’s efficiency, To control the VFD’s input voltage,B,,val,-2.517691135406494,-0.03933892399072647,-7.75,-6.34375,-5.3203125,-5.056250095367432,-4.325892925262451,-3.9814453125,-3.640191078186035,-3.092684745788574,-2.8828125,-2.513671875,-0.373046875,-0.2061767578125,-0.09063720703125,-0.00961914099752903,0.0935756117105484,0.135345458984375,0.1700032502412796,0.22414328157901764,0.25201416015625,0.3103201687335968
Which of the following is not a type of Non-Performing Asset?, Substandard Assets, Loss Assets, Devaluated Assets, Doubtful Debts,C,,val,-1.9712350368499756,-0.03080054745078087,-7.90625,-7.203125,-4.8984375,-4.34375,-3.588169574737549,-3.3212890625,-3.0078125,-2.5056374073028564,-2.298126220703125,-1.9698225259780884,-1.8125,-1.1259765625,-0.566741943359375,-0.4428466856479645,-0.2804652750492096,-0.2272186279296875,-0.1642116904258728,-0.0008322976063936949,0.0819193497300148,0.2621808648109436
Why are massive main-sequence stars more luminous than their low-mass counterparts?, None of the other choices, wider absorption lines., greater amounts of unstable heavy elements., greater core pressures and temperatures.,D,,val,-1.8861286640167236,-0.024181136718163125,-9.625,-6.625,-5.59765625,-4.505208492279053,-3.685546875,-3.3157551288604736,-2.7374379634857178,-2.5137531757354736,-2.1557528972625732,-1.8862838745117188,-0.7265625,-0.5826823115348816,-0.50634765625,-0.33480072021484375,-0.2331409454345703,-0.1827138215303421,-0.08752579987049103,-0.049795787781476974,0.011586870066821575,0.08728694915771484
Which of the following statements accurately describes Oracle Cloud Infrastructure's Object Storage Service?, An Archive Object Storage tier bucket can be upgraded to the Standard Object Storage tier., You cannot directly download an object froman Archive Object Storage bucket., None of the other choices, An existing Standard Object Storage tier bucket can be downgraded to the Archive Object Storage tier.,B,,val,-2.541306972503662,-0.02541306972503662,-12.5625,-9.5625,-6.6171875,-5.862500190734863,-4.738839149475098,-4.291015625,-3.898871421813965,-3.2252752780914307,-2.9596965312957764,-2.540187358856201,-3.71875,-2.390625,-1.552734375,-1.2189452648162842,-0.82421875,-0.69140625,-0.5805121660232544,-0.39541903138160706,-0.32080078125,-0.1159319207072258
"Two athletes leap straight upward. If John's initial speed is double that of Harry's, how does John's airtime compare to Harry's?", three times as long., twice as long., four times as long., 1.41 times as long.,B,,val,-2.306567907333374,-0.021556709414330598,-8.84375,-7.693749904632568,-6.439453125,-5.171875,-4.3409600257873535,-3.90283203125,-3.349609375,-2.9202768802642822,-2.581591844558716,-2.305546283721924,-2.84375,-2.02734375,-1.454833984375,-1.086137294769287,-0.8306536078453064,-0.6878814697265625,-0.5246838927268982,-0.39951393008232117,-0.2939160168170929,-0.19769287109375
Which of the following methods can multinational corporations use to safeguard against exchange rate risks?, currency options, futures markets, forward markets, All of the above,D,,val,-2.7470500469207764,-0.030187363152975565,-16.625,-9.614583015441895,-7.875,-5.919270992279053,-5.345982074737549,-4.490451335906982,-4.080468654632568,-3.4303791522979736,-3.170034646987915,-2.7504475116729736,-5.71875,-2.4680988788604736,-1.9306640625,-1.3473306894302368,-1.1383230686187744,-0.8479275107383728,-0.743212878704071,-0.5521240234375,-0.47329476475715637,-0.27294921875
Which of these functions does not belong to the responsibilities of a database management system?_________, Failure recovery, Processor Control, Concurrency control, Integrity control,B,,val,-3.5747344493865967,-0.04108890171708732,-13.875,-10.5,-9.140625,-7.588541507720947,-6.3984375,-5.89930534362793,-5.0085225105285645,-4.671224117279053,-4.082938194274902,-3.576416015625,-7.96875,-4.390625,-3.73828125,-2.6007487773895264,-1.93804931640625,-1.7017686367034912,-1.313520908355713,-1.1584879159927368,-0.9017508625984192,-0.653045654296875
How does the mean free path change as pressure increases?, Decreases., Increases., None of the other choices, Becomes zero.,A,,val,-2.1750311851501465,-0.036250519752502444,-7.75,-5.59375,-4.744791507720947,-4.1953125,-3.668750047683716,-3.26953125,-2.950892925262451,-2.66357421875,-2.411024332046509,-2.1729979515075684,-0.94140625,-0.6962890625,-0.513671875,-0.3658447265625,-0.26337891817092896,-0.137451171875,-0.0466657355427742,0.03338623046875,0.11865234375,0.20756836235523224
What factor influences the skin effect?, Cross section of the conductors, Supply frequency, Permeability of the conductor, All of these,A,,val,-4.653539180755615,-0.09901147193097054,-8.8125,-8.8125,-8.8125,-8.6875,-7.208333492279053,-7.208333492279053,-6.3515625,-6.3515625,-5.5625,-4.656168460845947,-1.828125,-1.828125,-1.828125,-1.349609375,-1.0045572519302368,-1.0045572519302368,-0.7718505859375,-0.7718505859375,-0.603808581829071,-0.450439453125
"#include <stdio.h> int main() { int a = -1, b = 4, c = 1, d; d = ++a && ++b || ++c; printf(""%d, %d, %d, %d\n"", a, b, c, d); return 0; }"," 0, 5, 2, 1"," 0, 4, 2, 1", None of the other choices," 1, 4, 1, 1",B,,val,-0.8628496527671814,-0.007503040458845056,-5.0234375,-3.587890625,-2.6219160556793213,-2.0978124141693115,-1.6849365234375,-1.4404168128967285,-1.251054286956787,-1.0814682245254517,-0.9684485793113708,-0.8625245094299316,-3.33984375,-1.7818704843521118,-1.108006477355957,-0.8215966820716858,-0.6145744323730469,-0.48772549629211426,-0.3772721588611603,-0.27570417523384094,-0.20155522227287292,-0.10791587829589844
To which antibacterial class does streptomycin belong?, Tetracyclines, Fluoroquinolone, Macrolide, Aminoglycoside,D,,val,-2.7678205966949463,-0.0453741081425401,-16.125,-11.4375,-8.348958015441895,-6.642578125,-5.399218559265137,-4.556314945220947,-3.9425222873687744,-3.457275390625,-3.077392578125,-2.7704315185546875,-4.21875,-2.2724609375,-1.4923502206802368,-1.0743408203125,-0.81494140625,-0.6153157353401184,-0.4704938530921936,-0.35577392578125,-0.22509765625,-0.11821289360523224
What is the angle of incidence at which light is completely polarized upon reflection from air to glass (with a refractive index μ)?, sin-1 \(\left( \frac { 1 }{ μ } \right) \), None of the other choices, tan-1 (μ), tan-1 \(\left( \frac { 1 }{ μ } \right) \),C,,val,-2.1400694847106934,-0.018772539339567487,-6.671875,-5.824999809265137,-5.129464149475098,-4.365624904632568,-3.806490421295166,-3.4588541984558105,-3.018663167953491,-2.7681641578674316,-2.4182236194610596,-2.140380859375,-3.6953125,-2.8265624046325684,-2.2550222873687744,-1.705468773841858,-1.2979031801223755,-1.1032999753952026,-0.8667365312576294,-0.7308441400527954,-0.565373957157135,-0.41014450788497925
"What has been the objective of the World Meteorological Organization (WMO) regarding the reduction in the number of deaths caused by hydro-meteorological disasters during the decade 2010-2019, compared to the decade 1994-2003?", None of the other choices,80%,25%,50%,D,,val,-1.4650747776031494,-0.009043671466686108,-6.756249904632568,-5.465909004211426,-4.295955657958984,-3.4296875,-2.8310210704803467,-2.459587574005127,-2.1141600608825684,-1.84468412399292,-1.6328811645507812,-1.463962435722351,-2.332812547683716,-1.6455966234207153,-1.0582095384597778,-0.7640566825866699,-0.5710217952728271,-0.447296142578125,-0.3230728209018707,-0.21826304495334625,-0.11660648882389069,-0.01665312610566616
When did Guru Angad Dev Ji pass away?, In 1552 A.D., In 1551 A.D., None of the other choices, In 1550 A.D.,A,,val,-2.409379720687866,-0.05354177157084147,-10.0625,-10.0625,-7.0234375,-5.447916507720947,-4.6328125,-4.131249904632568,-3.55078125,-3.0864956378936768,-2.70452880859375,-2.4074435234069824,-1.28125,-1.28125,-0.7939453125,-0.4755859375,-0.3154296875,-0.15703125298023224,0.0006510416860692203,0.1183035746216774,0.2333984375,0.3246527910232544
Which layer within an antral follicle is devoid of cells?, Stroma, Granulomas, Theca interna, Zona pellucida,A,,val,-3.599555015563965,-0.0590090986158027,-8.6875,-8.265625,-8.052083015441895,-7.6875,-6.591145992279053,-5.9933037757873535,-5.33251953125,-4.783420085906982,-4.319628715515137,-3.5996906757354736,-2.84375,-2.38671875,-1.9609375,-1.6796875,-1.2958984375,-1.1077357530593872,-0.9617919921875,-0.8149956464767456,-0.6807616949081421,-0.436767578125
How can the positions of spiral tracers be used to trace the spiral arms in the sun's neighborhood?, Cepheid variable stars., massive stars., type Ia and type II supernovae., None of the other choices,B,,val,-3.1304402351379395,-0.03817610042851146,-10.25,-9.78125,-7.861979007720947,-6.525390625,-5.552343845367432,-4.843099117279053,-4.300502300262451,-3.8544921875,-3.472547769546509,-3.1328125,-2.125,-1.5966796875,-1.22265625,-0.9555816650390625,-0.712902843952179,-0.5304463505744934,-0.39202880859375,-0.27429962158203125,-0.1687350869178772,-0.07783813774585724
Who is known as the 'Gandhi of Chirawa'?, Seth Ghanshyam Das Birla, Master Pyarelal Gupta, Radha krishna Bohra, Sardar Harlal Singh,B,,val,-2.3164186477661133,-0.04825872182846069,-6.59375,-6.015625,-5.59375,-4.818749904632568,-4.411458492279053,-3.9698660373687744,-3.264756917953491,-2.984375,-2.727450370788574,-2.3154296875,-1.0078125,-0.916015625,-0.75390625,-0.4179443418979645,-0.3202921450138092,-0.2448207288980484,-0.1192355677485466,-0.07020263373851776,-0.022804953157901764,0.10029484331607819
Which of the following options help decrease moral hazard for the mortgage borrower?, Collateral, Borrower qualifications, Private mortgage insurance, Down payments,D,,val,-3.8863015174865723,-0.049193690094766734,-11.875,-10.8125,-9.28125,-7.75,-7.125,-6.575892925262451,-5.519097328186035,-5.031640529632568,-4.588068008422852,-3.885770320892334,-3.328125,-2.796875,-2.2447917461395264,-1.5556640625,-1.33056640625,-1.1394740343093872,-0.857177734375,-0.7343505620956421,-0.6153897643089294,-0.3338153660297394
"Among the following organic compounds, which one will produce the highest response intensity when introduced into a flame ionization detector?", None of the other choices, Butane, Methane, Ethane,B,,val,-2.059476375579834,-0.018722512505271217,-7.3125,-5.9765625,-5.182291507720947,-4.587890625,-3.7833807468414307,-3.335036039352417,-2.950390577316284,-2.636259078979492,-2.3805510997772217,-2.059702157974243,-2.09375,-1.849609375,-1.4235025644302368,-1.0592041015625,-0.7336204051971436,-0.5759840607643127,-0.4468424618244171,-0.34303194284439087,-0.2536749541759491,-0.11911842972040176
Which of these characteristics is not included in Weber’s model of an effective government?, People must be treated equally., Government must employ skilled experts., There are rules within civil society., Skilled experts do not necessarily have to operate within an organized hierarchy.,D,,val,-3.6214592456817627,-0.04162596834116969,-9.9375,-7.8125,-7.109375,-6.328125,-6.066964149475098,-5.447916507720947,-5.099218845367432,-4.490560054779053,-4.16135835647583,-3.6207683086395264,-2.90625,-2.2161457538604736,-1.833984375,-1.443359375,-1.2613002061843872,-0.9430881142616272,-0.8194824457168579,-0.6234944462776184,-0.5406776070594788,-0.31806641817092896
What is the moisture percentage composition in green sand molding for steel casting?, None of the other choices, 2-3%, 5-6%, 4-5%,C,,val,-4.308173656463623,-0.05744231541951497,-12.25,-10.40625,-9.479166984558105,-7.981249809265137,-7.526041507720947,-6.995535850524902,-5.96875,-5.462890625,-5.034090995788574,-4.315505027770996,-3.78125,-3.203125,-2.859375,-2.12890625,-1.857421875,-1.6041433811187744,-1.1962348222732544,-1.040283203125,-0.9114435315132141,-0.659743070602417
Which of the following carbohydrates is non-reducing?, Ribose 5 – phosphate, Sucrose, Maltose, Lactose,B,,val,-1.7885806560516357,-0.029809677600860597,-9.375,-7.296875,-5.5,-4.29296875,-3.515625,-2.9710285663604736,-2.550990581512451,-2.2340545654296875,-1.9866909980773926,-1.7880218029022217,-1.796875,-1.318359375,-0.8755289912223816,-0.640289306640625,-0.4889892637729645,-0.38323974609375,-0.2612479031085968,-0.1587677001953125,-0.0608317069709301,0.09368896484375
Which of the following statements about the use of generics and parameterized types in Java is incorrect?, Generics and parameterized types eliminate the need for down casts when using Java Collections.," When designing your own collections class (say, a linked list), generics and parameterized types allow you to achieve type safety with just a single class definition as opposed to defining multiple classes.", Generics provide type safety by shifting more type checking responsibilities to the compiler., All of the mentioned,C,,val,-1.7894026041030884,-0.019882251156700982,-8.875,-6.291666507720947,-4.987500190734863,-4.1171875,-3.446180582046509,-3.1275391578674316,-2.6476237773895264,-2.2957589626312256,-2.01263427734375,-1.7911580801010132,-1.359375,-0.8255208134651184,-0.4463867247104645,-0.2726702094078064,-0.1492512971162796,-0.09604492038488388,-0.0098876953125,0.0679757222533226,0.179840087890625,0.3122016191482544
Which search algorithm sets a fixed depth limit on nodes?, Bidirectional search, Iterative deepening search, Depth-first search, None of the other choices,D,,val,-4.384370803833008,-0.07071565812633883,-10.5,-10.1875,-8.333333015441895,-7.359375,-6.731249809265137,-6.140625,-5.629464149475098,-5.21484375,-4.79774284362793,-4.378125190734863,-2.59375,-2.03125,-1.8385416269302368,-1.44970703125,-1.189062476158142,-0.9796549677848816,-0.8104073405265808,-0.6800537109375,-0.5437282919883728,-0.42021483182907104
What is DMSO (Dimethyl sulphoxide) used for?, Alkylating agent, Chelating agent, Gelling agent, Cryoprotectant,D,,val,-2.200752019882202,-0.04232215422850389,-8.375,-7.09375,-6.625,-4.853125095367432,-4.29296875,-3.8097097873687744,-3.151909828186035,-2.849902391433716,-2.5989878177642822,-2.199742317199707,-4.84375,-3.625,-2.6549479961395264,-1.628515601158142,-1.3505045175552368,-1.1437638998031616,-0.8473849892616272,-0.735107421875,-0.6375621557235718,-0.45624250173568726
What is used to give feedback to the learning element?, Sensor, Actuators, Critic, None of the mentioned,C,,val,-3.9580631256103516,-0.06596771876017253,-8.8125,-8.03125,-7.65625,-7.3671875,-7.03125,-6.1640625,-5.413504600524902,-4.84814453125,-4.353949546813965,-3.94921875,-2.5625,-1.744140625,-1.4244791269302368,-1.15283203125,-0.9453125,-0.73828125,-0.5591517686843872,-0.41748046875,-0.2986111044883728,-0.1953125
What kind of genetic material does the Variola virus contain?, Double stranded DNA, Single stranded RNA, Single stranded DNA, Double stranded RNA,A,,val,-2.7741949558258057,-0.04403484056866358,-9.0,-8.1875,-7.677083492279053,-6.359375,-5.426562309265137,-4.717447757720947,-4.183035850524902,-3.74755859375,-3.377387046813965,-2.7746360301971436,-1.1328125,-0.919921875,-0.6035969853401184,-0.42047119140625,-0.2730956971645355,-0.1588948518037796,-0.0725795179605484,0.027313232421875,0.1119520366191864,0.2652477025985718
"During a concussion (a form of traumatic brain injury), the brain shifts within the cranial cavity, resulting in damage when it impacts the bony cavity walls. Ironically, one of the bone markings that can seriously harm the brain is the ________. This is ironic because one of its primary functions is to ________.", crista galli; attach to the dura matter holding the brain in place, styloid process; attach to and support the hyoid bone, perpendicular plate; separate the left and right halves of the nasal cavity, pterygoid processes; anchor important chewing muscles,A,,val,-2.6548235416412354,-0.013476261632696626,-9.953125,-8.130208015441895,-6.9609375,-5.899088382720947,-5.071614742279053,-4.392578125,-3.8243582248687744,-3.3679606914520264,-2.999091148376465,-2.6554434299468994,-3.6276042461395264,-2.7291667461395264,-2.188368082046509,-1.657061219215393,-1.312469482421875,-1.062854290008545,-0.8645150065422058,-0.6988334655761719,-0.5589746832847595,-0.4062029719352722
Which of these karyotypes is not viable for human survival to birth?," 47, X"," 45, Y", None of the other choices," 47, XY,+13",B,,val,-3.324094295501709,-0.048883739639731014,-11.1875,-9.0,-6.59375,-6.056250095367432,-5.252232074737549,-4.912109375,-4.61805534362793,-4.084517002105713,-3.859375,-3.325648784637451,-3.671875,-3.2890625,-2.498046875,-2.141406297683716,-1.5718470811843872,-1.36651611328125,-1.1877713203430176,-0.9119762182235718,-0.7747802734375,-0.503662109375
