question,предмет,выбор,отвечать,sheet,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
" Международная торговля почти всегда выгодна обеим странам, так почему же страны пытаются защитить свои фирмы от влияния мирового рынка?", внешняя политика США," ['Иррациональность со стороны руководства', 'Издержки свободной торговли сосредоточены в одной стране, а выгоды распределены между разными странами', 'Тип режима', 'Международные конфликты препятствуют торговле']",1,Sheet1,-3.2196950912475586,-0.02012309432029724,-8.78125,-7.831250190734863,-7.15625,-6.1953125,-5.64453125,-4.979166507720947,-4.573988914489746,-4.005663871765137,-3.6528542041778564,-3.218447208404541,-5.625,-3.2359375953674316,-2.578125,-1.8222777843475342,-1.504913330078125,-1.1687743663787842,-0.9972642064094543,-0.7796081304550171,-0.6540471911430359,-0.47603026032447815
" Утверждение 1 | Классификация CIFAR-10 с помощью сверточных нейронных сетей может превышать 95%. Утверждение 2 | Ансамбли нейронных сетей не улучшают точность классификации, поскольку изучаемые ими представления сильно коррелированы.", машинное обучение," ['Истина, Истина' 'Ложь, Ложь' 'Истина, Ложь' 'Ложь, Истина']",2,Sheet1,-2.3598668575286865,-0.009791978661944757,-9.65625,-7.872395992279053,-6.542534828186035,-5.486653804779053,-4.552671432495117,-3.922191619873047,-3.396347999572754,-2.984380006790161,-2.6599409580230713,-2.359750509262085,-2.3463542461395264,-1.6813150644302368,-1.1854010820388794,-0.8784815669059753,-0.6583783626556396,-0.5294172763824463,-0.42638450860977173,-0.3269404172897339,-0.23427845537662506,-0.12352826446294785
 Почему пациенту может потребоваться трахеостомия?, клинические_знания, ['Для восстановления голосовых связок после паралича'. 'Для облегчения глотания'. 'В качестве вспомогательного средства при отлучении пациентов от аппарата искусственной вентиляции легких'. 'Перед операцией на шее'.],2,Sheet1,-1.992905616760254,-0.024303727033661633,-9.375,-8.5,-6.875,-5.52734375,-3.8958332538604736,-3.392578125,-2.98236083984375,-2.6527099609375,-2.3882172107696533,-1.9901809692382812,-0.79296875,-0.66796875,-0.4392903745174408,-0.31884765625,-0.1788737028837204,-0.1156529039144516,-0.0643310546875,-0.0055338540114462376,0.04541015625,0.1468912810087204
"Один бейсбольный болельщик купил два билета на бейсбольный матч Мировой серии. Он связался со своим лучшим другом и пригласил его на игру. Друг, будучи ярым поклонником бейсбола, с радостью согласился. Болельщик сказал другу, что игра начинается в 19:00, и что он заберет его примерно в 17:00, чтобы они могли приехать пораньше и посмотреть разминку перед игрой. Они ехали на игру вместе, когда болельщик резко ускорился, чтобы пересечь перекресток, когда светофор переключался с желтого на красный. Подъезжая к перекрестку, он ехал со скоростью 80 км/ч, хотя разрешенная скорость составляла 40 км/ч. В это же время на перекресток въехала машина на красный свет и столкнулась с автомобилем болельщика. В результате столкновения друг получил перелом таза. В данной юрисдикции принят следующий «модифицированный» закон о сравнительной вине: «Истец, допустивший небрежность, имеет право на возмещение ущерба при условии, что небрежность истца не равна или не превышает небрежность ответчика; в противном случае возмещение ущерба не допускается». Предположим, друг подает иск против водителя автомобиля, въехавшего на перекресток на красный свет, с целью взыскания компенсации за причиненный ему ущерб. Присяжные вынесли специальный вердикт со следующими выводами: (1) Пострадавший на 55 процентов допустил небрежность, превысив скорость; (2) Водитель допустил небрежность на 45 процентов, проехав на красный свет; и (3) Друг понес ущерб в размере 100 000 долларов. В результате суд должен вынести решение в пользу друга на сумму...",профессиональное_право," ['100 000,00' '55 000,00' '45 000,00' 'ничего, потому что вентилятор был более небрежен, чем водитель.']",0,Sheet1,-1.6451972723007202,-0.0015819204541353078,-6.879360675811768,-5.44755744934082,-4.550811290740967,-3.789553642272949,-3.1997716426849365,-2.7249064445495605,-2.3489842414855957,-2.057095527648926,-1.8282463550567627,-1.645005226135254,-2.2486374378204346,-1.3863931894302368,-0.9332019090652466,-0.6901231408119202,-0.535894513130188,-0.4188137352466583,-0.31738778948783875,-0.22640825808048248,-0.1403791606426239,-0.045986443758010864
 Наилучшее определение городской территории — это...,география для старшей школы, ['Центральный город и его застроенные районы.' 'Центральный город и его окрестности.' 'Центральный город и его окрестности.' 'Центральный город и прилегающие районы.'],1,Sheet1,-4.412203788757324,-0.051304695218108425,-10.75,-10.75,-8.375,-7.583333492279053,-7.140625,-6.681250095367432,-6.083333492279053,-5.526785850524902,-4.9375,-4.414388179779053,-1.4375,-1.4375,-0.96484375,-0.796875,-0.63720703125,-0.520800769329071,-0.383544921875,-0.2637416422367096,-0.16534423828125,-0.0588650181889534
" Акцент на проблемах, целевая аудитория, выходящая за рамки акционеров, и добровольный характер ___________ отличают его от _________.", деловая_этика,"['Финансовый учет, Инициативы в области экологического менеджмента' 'Финансовый учет, Социальный учет' 'Социальный учет, Финансовый учет' 'Публикация годового отчета, Социальный учет']",2,Sheet1,-3.3280551433563232,-0.02263983090718587,-10.520833015441895,-9.40625,-8.46875,-7.36328125,-6.12060546875,-5.417352199554443,-4.775213241577148,-4.238632678985596,-3.7999441623687744,-3.3287267684936523,-1.6692708730697632,-1.29296875,-0.9947916865348816,-0.7819010615348816,-0.5755233764648438,-0.45463481545448303,-0.3510908782482147,-0.25724121928215027,-0.1801539808511734,-0.030803680419921875
"Какова работа, необходимая для зарядки конденсатора емкостью 10 мкФ до разности потенциалов 100 В?", физика в старшей школе," ['0,005 Дж' '0,01 Дж' '0,05 Дж' '0,1 Дж']",2,Sheet1,-1.0605847835540771,-0.00803473320874301,-5.53125,-4.15625,-3.078558921813965,-2.4622395038604736,-2.058854103088379,-1.7580294609069824,-1.5151832103729248,-1.3270797729492188,-1.17962646484375,-1.0616638660430908,-1.4739583730697632,-1.0370584726333618,-0.6782565712928772,-0.4944508969783783,-0.36782634258270264,-0.2622511088848114,-0.1661929190158844,-0.08576711267232895,-0.00476752407848835,0.06992797553539276
 Какой из следующих вариантов завершает следующее утверждение? «Правый предсердно-желудочковый клапан…», анатомия, ['является полулунным клапаном' 'предотвращается от выворачивания папиллярными мышцами' 'открыт во время систолы' 'предотвращает возврат крови из легочного ствола при расслаблении сердца'],1,Sheet1,-2.7925376892089844,-0.019528235588874017,-8.53125,-7.71875,-6.520089149475098,-5.75868034362793,-4.923177242279053,-4.4949774742126465,-4.09912109375,-3.5224609375,-3.192962646484375,-2.7941665649414062,-3.0234375,-2.294921875,-1.3325718641281128,-1.0209282636642456,-0.6988016963005066,-0.54888916015625,-0.41655731201171875,-0.2549791932106018,-0.163359135389328,-0.015009562484920025
" Полимеразная цепная реакция, или ПЦР, — это метод, который", медицинская генетика," ['использовался для демонстрации ДНК как генетического материала', 'используется для определения содержания минералов в образце почвы', 'использует короткие ДНК-праймеры и термостабильную ДНК-полимеразу для репликации специфических последовательностей ДНК in vitro', 'измеряет скорость переноса рибосом во время трансляции']",2,Sheet1,-1.2345049381256104,-0.01327424664651194,-5.625,-4.770833492279053,-3.4281249046325684,-3.0377604961395264,-2.4951171875,-2.078564405441284,-1.8990589380264282,-1.612746000289917,-1.3982319831848145,-1.233734130859375,-2.09375,-0.8738606572151184,-0.505859375,-0.4083658754825592,-0.2657470703125,-0.15126952528953552,-0.10520241409540176,-0.006084735505282879,0.10097656399011612,0.2014590948820114
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Мне пришлось застрелить пантеру, потому что она раздражала моего сына. Сценарий 2 | Я насыпал миску хлопьев своему маленькому сыну.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",1,Sheet1,-2.193188190460205,-0.006625946194743822,-9.125,-7.247023582458496,-6.175403118133545,-5.124442100524902,-4.263192653656006,-3.656095027923584,-3.135003089904785,-2.767916679382324,-2.4478306770324707,-2.19381046295166,-2.563281297683716,-1.589099645614624,-1.1106626987457275,-0.8107823133468628,-0.6262921094894409,-0.4961887001991272,-0.3807554543018341,-0.286134272813797,-0.19297003746032715,-0.09935256838798523
" Высокая энтропия означает, что разбиения в классификации являются", машинное обучение, ['чистый' 'нечистый' 'полезный' 'бесполезный'],1,Sheet1,-2.892773151397705,-0.02892773151397705,-10.625,-8.260416984558105,-7.4453125,-6.0703125,-5.6004462242126465,-4.69618034362793,-4.291406154632568,-3.6092936992645264,-3.337440013885498,-2.894000291824341,-3.09375,-1.9934896230697632,-1.53662109375,-0.9939778447151184,-0.8355887532234192,-0.58935546875,-0.494873046875,-0.3308512270450592,-0.2480093091726303,-0.09436848759651184
"Данный вопрос относится к следующей информации. «Задача на следующие полвека — проявить мудрость в использовании богатства для обогащения и возвышения нашей национальной жизни, а также для повышения качества нашей американской цивилизации… Великое общество основано на изобилии и свободе для всех. Оно требует искоренения бедности и расовой несправедливости, чему мы полностью привержены в наше время. Но это только начало. Великое общество — это место, где каждый ребенок может найти знания, которые обогатят его ум и расширят его таланты. Это место, где досуг — это желанная возможность для созидания и размышлений, а не страшная причина скуки и беспокойства. Это место, где город человека служит не только потребностям тела и требованиям торговли, но и стремлению к красоте и жажде общения. Это место, где человек может возобновить контакт с природой. Это место, которое чтит творение ради него самого и за то, что оно добавляет к пониманию человечества. Это место, где люди больше заботятся о качестве своих целей, чем о количестве своих благ. Но прежде всего, Великое общество — это не безопасная гавань, не место отдыха, не конечная цель, «Завершенное произведение. Это постоянно обновляющийся вызов, манящий нас к судьбе, где смысл нашей жизни соответствует чудесным результатам нашего труда». Линдон Джонсон, выступление в Мичиганском университете, Анн-Арбор, 1964 год. Все перечисленное ниже было частью программы Джонсона «Великое общество», КРОМЕ",история США в старшей школе, [«Закон о гражданских правах 1964 года» «Медикейр и Медикаид» «Создание Министерства жилищного строительства и городского развития» «Мандат сбалансированного бюджета»],3,Sheet1,-2.6038317680358887,-0.0024845722977441687,-9.259821891784668,-7.789285659790039,-6.6217570304870605,-5.719414710998535,-4.8858137130737305,-4.237525939941406,-3.7049436569213867,-3.2538113594055176,-2.8990354537963867,-2.604504346847534,-2.4151785373687744,-1.7113839387893677,-1.2541733980178833,-0.9381060004234314,-0.725872814655304,-0.5702250003814697,-0.4408566951751709,-0.3267964720726013,-0.22311995923519135,-0.11684267222881317
" Определите антецедент следующего условного утверждения: Университет повышает плату за обучение тогда и только тогда, когда и губернатор одобряет это, и попечительский совет рекомендует это.", формальная_логика, ['Университет повышает плату за обучение.' 'Губернатор одобряет это.' 'Попечительский совет рекомендует это.' 'Ничего из вышеперечисленного'],3,Sheet1,-2.779181480407715,-0.014252212720039563,-10.46875,-9.30859375,-8.059895515441895,-6.746323585510254,-5.571521759033203,-4.736328125,-3.9754395484924316,-3.5126593112945557,-3.1447391510009766,-2.779252767562866,-2.80859375,-2.1982421875,-1.6714681386947632,-1.184563159942627,-0.9424816370010376,-0.7690674066543579,-0.6008829474449158,-0.49124324321746826,-0.39754125475883484,-0.28740745782852173
" Этот вопрос относится к следующей информации: «Мы приходим к выводу, что в сфере государственного образования доктрина «раздельное, но равное» не имеет места. Раздельные образовательные учреждения по своей сути неравны. Поэтому мы считаем, что истцы и другие лица, находящиеся в аналогичном положении, от имени которых были поданы иски, в силу оспариваемой сегрегации лишены равной защиты закона, гарантированной Четырнадцатой поправкой». Браун против Совета по образованию, 1954. Что из перечисленного лучше всего отражает последствия описанного выше юридического решения?", история США в старшей школе,"[«Продолжающееся сопротивление белого населения замедлило усилия по десегрегации, вызвав серию социальных конфликтов на всем Юге». «Решение Верховного суда по делу Браун против Совета по образованию привело к увеличению числа студентов в колледжах и университетах». «В 1960-х годах все большее число выпускников средних школ отвергали идею о желательности высшего образования». «В двадцатом веке для работы в передовых технических и медицинских отраслях, как правило, требовалось послевузовское образование».]",0,Sheet1,-2.2330565452575684,-0.004319258308041718,-7.886160850524902,-6.504464149475098,-5.507068634033203,-4.789341449737549,-4.2149553298950195,-3.674990653991699,-3.19246244430542,-2.807102680206299,-2.4984829425811768,-2.232797145843506,-2.4146206378936768,-1.5380859375,-1.040502667427063,-0.7651160359382629,-0.5817426443099976,-0.4422120451927185,-0.33039015531539917,-0.22875377535820007,-0.132745161652565,-0.010993687435984612
"Этот вопрос относится к следующей информации. Прочитайте следующую цитату, чтобы ответить на вопросы. Различные формы богослужения, преобладавшие в римском мире, считались народом одинаково истинными; философом — одинаково ложными; а магистратом — одинаково полезными. Эдвард Гиббон, «Упадок и падение Римской империи», 1776–1788. Интерпретация состояния религиозных верований в Древнем Риме, предложенная английским историком XVIII века Эдвардом Гиббоном, может быть представлена в качестве доказательства того, что", история Европы в старшей школе," [«монополия духовенства на академическую науку в Британии XVIII века», «ненависть ко всему римскому со стороны британских ученых в XVIII веке», «распространение религиозного скептицизма среди образованной элиты Британии в XVIII веке», «нехватка источников, доступных ученым XVIII века для изучения древнеримской цивилизации»]",2,Sheet1,-2.062427282333374,-0.004416332510349837,-8.805803298950195,-7.083512783050537,-5.773619174957275,-4.760102272033691,-4.01746940612793,-3.39955997467041,-2.951824426651001,-2.575782537460327,-2.300057888031006,-2.0621745586395264,-2.3705356121063232,-1.626212239265442,-1.093019723892212,-0.7903732061386108,-0.6056972146034241,-0.46278783679008484,-0.35149329900741577,-0.24795295298099518,-0.1596517711877823,-0.06000029295682907
 Что из перечисленного ниже увеличит скорость диффузии газа между альвеолами легких и кровью внутри легочного капилляра?, колледж_биология,"['Уменьшение градиента парциального давления газа' 'Уменьшение растворимости газа в воде' 'Увеличение общей площади поверхности, доступной для диффузии' 'Уменьшение скорости кровотока через легочные капилляры']",2,Sheet1,-2.3513145446777344,-0.015780634528038486,-8.90625,-7.510416507720947,-6.364583492279053,-5.506510257720947,-4.618229389190674,-3.8956706523895264,-3.3519577980041504,-2.9380390644073486,-2.6121668815612793,-2.350950002670288,-3.5572917461395264,-2.8033854961395264,-2.120659828186035,-1.60382080078125,-1.2713704109191895,-1.0371229648590088,-0.8563639521598816,-0.709197998046875,-0.5797616243362427,-0.4320719540119171
" Как происходит стимуляция клеток, вырабатывающих антитела?", вирусология," ['Взаимодействие с коротким пептидом вируса' 'Взаимодействие с Т-хелперной клеткой' 'Взаимодействие с плазматической клеткой' 'Взаимодействие с клеткой, инфицированной вирусом']",1,Sheet1,-2.395308017730713,-0.024693897090007348,-9.0,-8.25,-6.5390625,-6.0,-4.771205425262451,-4.18328857421875,-3.720201253890991,-3.0459177494049072,-2.7927398681640625,-2.3937771320343018,-0.98046875,-0.646484375,-0.31219482421875,-0.23833008110523224,-0.1483328640460968,-0.116485595703125,-0.0914984792470932,-0.016357421875,0.0361124686896801,0.1339111328125
" Нервная анорексия — это опасное для жизни заболевание, которое может привести к необратимым физиологическим изменениям (например, к хрупкости костей) и даже к смерти. У кого из следующих людей наиболее высока вероятность развития этого заболевания?", психология старшей школы,"['Мария, 16-летняя девушка европеоидной расы, отличница и талантливая музыкантка, но чувствующая, что ее жизнь вышла из-под контроля'; 'Летисия, 15-летняя афроамериканка, отличница и выдающаяся спортсменка, а также заядлая читательница'; 'Роза, 26-летняя латиноамериканка, только что получившая юридическое образование, испытывает трудности с погашением долгов за обучение и поиском работы'; 'Вирджиния, 14-летняя девушка европеоидной расы, отличница, ведет беспорядочную половую жизнь и экспериментирует с наркотиками']",0,Sheet1,-1.732896089553833,-0.006614107212037531,-5.849999904632568,-4.96875,-4.384765625,-3.7805397510528564,-3.2592074871063232,-2.872514247894287,-2.4782402515411377,-2.2047007083892822,-1.941532015800476,-1.7335107326507568,-1.615625023841858,-0.9758522510528564,-0.673004150390625,-0.4759021997451782,-0.343963623046875,-0.2626694142818451,-0.16832244396209717,-0.09646051377058029,-0.008791503496468067,0.0870862677693367
" Пэт подбрасывает баскетбольный мяч 25 раз за 30 секунд. При такой скорости, приблизительно сколько раз Пэт подбросит мяч за 150 секунд?", элементарная_математика, ['120' '125' '144' '145'],1,Sheet1,-2.229551076889038,-0.014863673845926921,-8.8203125,-7.4296875,-6.029947757720947,-4.926470756530762,-4.247395992279053,-3.701406240463257,-3.158984422683716,-2.808694362640381,-2.5203793048858643,-2.228032350540161,-1.48046875,-1.16162109375,-0.8562825322151184,-0.583611011505127,-0.4321753978729248,-0.3191210925579071,-0.21241861581802368,-0.13733628392219543,-0.05698756128549576,0.050111282616853714
 Истоки китайской цивилизации можно проследить до:, доисторический период,"[«Местоположение Ань-Яна у реки Хуанхэ». «Вождиства и государства во многих регионах Китая». «Начало династии Цинь». «Внешнее влияние, исходящее из долины Инда».]",1,Sheet1,-3.721688985824585,-0.04594677760277265,-10.625,-8.875,-8.25,-7.8984375,-7.034375190734863,-6.278645992279053,-5.700892925262451,-5.11279296875,-4.55224609375,-3.7259743213653564,-1.5,-1.25390625,-1.0364583730697632,-0.8818359375,-0.6951659917831421,-0.5597737431526184,-0.446044921875,-0.325836181640625,-0.2280002236366272,-0.023548472672700882
 Какое из этих названий является другим названием поля для гольфа?, разнообразный, ['Pitch' 'Links' 'Steps' 'Suite'],1,Sheet1,-3.2693393230438232,-0.03592680574773432,-8.6875,-8.65625,-7.609375,-6.9375,-5.5792412757873535,-5.1142578125,-4.74305534362793,-4.083806991577148,-3.8098957538604736,-3.2672882080078125,-1.296875,-1.2890625,-0.905029296875,-0.7076171636581421,-0.4632394015789032,-0.34429931640625,-0.2240125834941864,-0.03306995704770088,0.0647379532456398,0.2441057413816452
" В каком из этих двух сценариев главный герой (использующий местоимения «я/мне/мой») совершает явно аморальный поступок, согласно общепринятым моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я выстрелил стрелой в глаз. Сценарий 2 | Увидев имя своей сестры в кабинке мужского туалета, я добавил её номер телефона.", моральные_сценарии," ['Неправильно, неправильно' 'Неправильно, не неправильно' 'Не неправильно, неправильно' 'Не неправильно, не неправильно']",2,Sheet1,-2.245579719543457,-0.006909476060133714,-9.0,-7.251488208770752,-6.0693359375,-5.21279764175415,-4.381043434143066,-3.712982177734375,-3.2376279830932617,-2.825930595397949,-2.5026118755340576,-2.2453339099884033,-2.36328125,-1.5548734664916992,-1.0520000457763672,-0.7922987937927246,-0.6095903515815735,-0.46804332733154297,-0.36562615633010864,-0.26343849301338196,-0.1726652830839157,-0.07456271350383759
