question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split,loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,minkpp_0.1,minkpp_0.2,minkpp_0.3,minkpp_0.4,minkpp_0.5,minkpp_0.6,minkpp_0.7,minkpp_0.8,minkpp_0.9,minkpp_1.0
8531,"The temperature at the point $(x, y, z)$ in a substance with conductivity $K=6.5$ is $u(x, y, z)=2 y^2+2 z^2$. Find the rate of heat flow inward across the cylindrical surface $y^2+z^2=6$, $0 \leqslant x \leqslant 4$",$800\pi$,$1504\pi$,$1248\pi$,$1560\pi$,$960\pi$,$1104\pi$,$1320\pi$,$1400\pi$,$1040\pi$,$984\pi$,C,2,math,scibench-calculus,,test,-1.3878823518753052,-0.00831067276572039,-5.9776787757873535,-4.592708110809326,-3.69972825050354,-3.1081149578094482,-2.661057710647583,-2.2800447940826416,-1.9788529872894287,-1.7396066188812256,-1.5445749759674072,-1.38816237449646,-2.2265625,-1.5057291984558105,-1.0352715253829956,-0.7626292109489441,-0.5933093428611755,-0.45880573987960815,-0.3453373908996582,-0.25234687328338623,-0.16355912387371063,-0.06976120173931122
5919,"Which of the following, discovered during an audit, most likely would raise a question concerning possible illegal acts?",The entity has been consistently late in paying its taxes for the year.,The entity prepared several large checks payable to cash during the year.,The entity has a high turnover rate for its CFO position.,The entity was a campaign contributor to several local political candidates during the year.,Material internal control weaknesses previously reported to management were not corrected.,The entity has made several large donations to non-profit organizations.,The entity's financial statements show a consistent decrease in revenue over the year.,The entity has recently changed its accounting firm multiple times.,The entity has a significantly higher expenditure on office supplies than usual.,"Related party transactions, although properly disclosed, were pervasive during the year.",B,1,other,ori_mmlu-professional_accounting,,test,-3.091973066329956,-0.030613594716138177,-7.734375,-6.609375,-5.953125,-5.5078125,-5.150000095367432,-4.75,-4.2901787757873535,-3.829345703125,-3.4319119453430176,-3.091033935546875,-1.8046875,-1.541015625,-1.3984375,-1.2119140625,-1.010400414466858,-0.8223469853401184,-0.6828264594078064,-0.54571533203125,-0.4188910722732544,-0.2674316465854645
5242,Reindeer herding as an economic activity of the Sami in Norway is an example of which of the following types of diffusion?,Contagious,Convergent,Sequential,Hierarchical,Stimulus,Reverse hierarchical,Expansion,Peripheral,,,E,4,other,ori_mmlu-miscellaneous,,test,-2.379244327545166,-0.02379244327545166,-9.0625,-6.637499809265137,-5.65625,-4.735937595367432,-4.15504789352417,-3.8656249046325684,-3.3990886211395264,-3.089770555496216,-2.69010591506958,-2.3812010288238525,-1.74609375,-1.0636718273162842,-0.7729361653327942,-0.5114166140556335,-0.3663541376590729,-0.2968688905239105,-0.1785973459482193,-0.10331573337316513,-0.00475145410746336,0.10607323050498962
12088,Suppose the effect of a magnetic field is to induce a magnetic dipole moment of 10^-23 A m^2 per atom. Let there be 10^27 atoms/m^3. Find the surface current density at a surface making an angle of 45° withM.,6000 A m^-1,6500 A m^-1,7070 A m^-1,5000 A m^-1,8000 A m^-1,7500 A m^-1,4500 A m^-1,5500 A m^-1,9000 A m^-1,10000 A m^-1,C,2,engineering,stemez-Electromagnetics,,test,-1.9873563051223755,-0.012420976907014847,-9.364583015441895,-6.5078125,-5.28211784362793,-4.478189945220947,-3.7247984409332275,-3.233952760696411,-2.8319404125213623,-2.506178140640259,-2.2393643856048584,-1.9877797365188599,-3.6028645038604736,-2.1826171875,-1.5645548105239868,-1.1553446054458618,-0.8513340950012207,-0.6639239192008972,-0.5184581875801086,-0.3999272584915161,-0.2969948649406433,-0.1739344447851181
1225,"A man outraged by the recent church decision to clear a famous philosopher of charges of heresy, decided to present a lecture, open to the public, disproving the philosopher's theories. A state statute provides that: ""state universities can permit the use of their lecture halls to the public for worthwhile programs of public benefit, upon approval of the school board. ""The appropriate school board refused to make a university lecture hall available to the man on the grounds that the proposed lecture was not of worthwhile benefit to the public. As a result, the man brought suit in a state court against the school board and requested injunctive relief requiring the board to allow him the use of the lecture hall. The trial court denied relief and dismissed the suit. The judgment was affirmed by the state appellate court, and is now before the U. S. Supreme Court. In analyzing the state statute, which of the following statements is least accurate?","The statute is unconstitutionally overbroad, because it may result in the exclusion of protected speech as well as unprotected speech.","The statute, as applied to the man, does not violate his First Amendment rights because his proposed speech is not political and, therefore, not among the classes of speech that are protected.","Indirect speech, regulations are only permissible if necessary to serve compelling state interests.","The statute is a prior restraint on speech, which unconstitutionally vests unfettered discretion in the school board to decide who may use university lecture halls.",,,,,,,B,1,law,ori_mmlu-professional_law,,test,-2.333319664001465,-0.0048814218912164534,-8.675347328186035,-6.861979007720947,-5.7741475105285645,-5.001070022583008,-4.310971260070801,-3.748579502105713,-3.2982940673828125,-2.906801462173462,-2.600545883178711,-2.333106517791748,-2.362413167953491,-1.6622178554534912,-1.201740026473999,-0.8932319283485413,-0.6755994558334351,-0.5146384239196777,-0.38849544525146484,-0.27560901641845703,-0.1787101924419403,-0.07841624319553375
889,What is the major difference between naturalism and positivism?,"Naturalism concerns the underpinning values of the international society, while positivism the international rules as such","Naturalism is a contemporary theory, while positivism is a traditional theory","On the one hand, naturalism is based on a set of rules that are of universal and objective scope and on the other hand, positivism is based on a structured and coherent legal system that is created by States in light of their interests and desires","Naturalism argues that laws are inherently subjective and influenced by personal beliefs, while positivism argues that laws are objective and universally applicable","Naturalism focuses on the interpretation of law, while positivism focuses on the enforcement of law","Naturalism is a theory of law that is subjective and varies from person to person, while positivism is a theory of law that is objective and the same for everyone.","Naturalism is a school of thought advocated outside of Europe, while positivism is Euro-centric theory","Naturalism is a theory of law that relies on the inherent morality of a society, while positivism relies on the codification of laws by a governing body","While naturalism serves only the theory human rights law, positivism has a wider and more general scope","Naturalism is concerned with the moral aspects of law, while positivism is concerned with the legal aspects of law",C,2,law,ori_mmlu-international_law,,test,-2.629124402999878,-0.039835218227270874,-8.375,-7.515625,-7.083333492279053,-6.10546875,-5.387499809265137,-4.641275882720947,-4.073660850524902,-3.5859375,-3.1982421875,-2.6242454051971436,-1.125,-0.990234375,-0.7916666865348816,-0.5826416015625,-0.4141601622104645,-0.300537109375,-0.2057059109210968,-0.10626220703125,-0.0276150181889534,0.11021839827299118
5186,In selecting an appropriate sample for a substantive test the auditor most likely would stratify the population if the,Auditor plans to give greater representation to large recorded amounts.,Desired assessed level of control risk is less than the prior year.,The auditor needs to test a large amount of transactions.,There is a significant amount of unrecorded transactions.,Technique to be used is attribute sampling.,The population is homogeneous in nature.,The auditee has a high level of internal control.,Auditor suspects that management fraud has occurred during the year.,The auditor plans to reduce the sample size due to time constraints.,The population has a wide dispersion.,A,0,other,ori_mmlu-professional_accounting,,test,-3.5696210861206055,-0.03797469240553836,-11.75,-10.791666984558105,-9.681249618530273,-7.921875,-6.588541507720947,-5.6946024894714355,-4.995192527770996,-4.440885543823242,-3.9657628536224365,-3.5671257972717285,-5.3125,-3.6666667461395264,-2.9765625,-2.1683523654937744,-1.6499837636947632,-1.2906826734542847,-1.011737585067749,-0.797412097454071,-0.6229463219642639,-0.40441250801086426
8559,Find the product of 5 • (−9).,-54,−45,54,35,45,14,0,-14,−4,-35,B,1,math,ori_mmlu-elementary_mathematics,,test,-2.7382705211639404,-0.06678708588204733,-9.5,-7.375,-5.802083492279053,-4.953125,-4.390625,-4.010416507720947,-3.6997768878936768,-3.3857421875,-3.0300564765930176,-2.7374510765075684,-3.4375,-2.021484375,-1.498046875,-1.20947265625,-0.9964843988418579,-0.8230794072151184,-0.6622489094734192,-0.5330810546875,-0.4315321147441864,-0.33720701932907104
10195,"Find the half-angular breadth of the central bright band in the Fraunhoferdiffraction pattern of a slit 14 × 10^-5 cm wide, when the slit is illuminated by a parallel beam of monochromatic light of wavelength a) 400m\mu, b) 700m\mu.","20 degrees, 40 degrees","22 degrees, 44 degrees","25 degrees, 50 degrees","8 degrees, 16 degrees","12 degrees, 24 degrees","18 degrees, 36 degrees","14 degrees, 28 degrees","16.6 degrees, 30 degrees","30 degrees, 60 degrees","10 degrees, 20 degrees",H,7,physics,stemez-Optics,,test,-1.9717826843261719,-0.011332084392679149,-9.5,-7.169471263885498,-5.482812404632568,-4.478298664093018,-3.7935431003570557,-3.2959961891174316,-2.830732583999634,-2.4765806198120117,-2.1958882808685303,-1.9699554443359375,-5.140625,-3.028095006942749,-2.045581102371216,-1.5026358366012573,-1.1703921556472778,-0.9666107296943665,-0.7813408970832825,-0.6329639554023743,-0.5054811835289001,-0.37882545590400696
10498,How many distinct directed trees can be constructed from a undirected tree with 100 nodes?,9900,10000,250,1000,150,99,50,500,200,100,J,9,computer science,theoremQA-EECS,,test,-2.289607286453247,-0.028982370714598065,-9.375,-7.541666507720947,-5.759375095367432,-4.779017925262451,-4.084201335906982,-3.5411932468414307,-3.139122486114502,-2.8174479007720947,-2.5535385608673096,-2.2887027263641357,-3.328125,-1.65234375,-1.105078101158142,-0.8444475531578064,-0.6224772334098816,-0.43685635924339294,-0.2882173955440521,-0.16176757216453552,-0.059326171875,0.050331518054008484
1090,"Four people own a property, and they agree to convey to an adult child of one of them. There is a purchasemoney mortgage on the property for which the four signed a promissory note as security. The loan was not satisfied at the time of the conveyance. The conveyance is a deed in fee simple to the adult child. The adult child then takes over the mortgage payments. The adult child stops making the payments and conveys the property to a bona fide purchaser who does not do a title search. The purchaser sues his grantor to get an order compelling him to pay the mortgage and remove the lien from his property. Will the court more than likely grant the motion to dismiss made by the defendants?","Yes, that is the risk the purchaser took; he cannot go to closing without a title search and a title company making arrangements for payment of the outstanding mortgage by the seller at closing.","Yes, but the court will also issue an order for the original four owners to pay a portion of the outstanding mortgage.","No, the court will order the purchaser to resume payments on the mortgage and to obtain a loan to pay it off within a reasonable time.","No, the court will order the bona fide purchaser to pay the outstanding mortgage.","Yes, because the court can only force the original four owners to clear the mortgage by paying it in full.","Yes, the court will dismiss the case because the purchaser did not conduct a title search before buying the property.","No, the court will order the adult child to resume paying on the mortgage and to obtain a loan to pay it off within a reasonable time.","No, the court will order the original four owners to come into court and defend on behalf of the adult child, who has no legal responsibility for the mortgage.","No, the court will order the adult child and the original four owners to equally share the remaining mortgage payments.","Yes, because the court can only force the adult child to clear the mortgage by paying it in full.",A,0,law,ori_mmlu-professional_law,,test,-2.4641306400299072,-0.0070605462465040325,-9.220982551574707,-7.133620738983154,-5.981534004211426,-5.163254261016846,-4.46350622177124,-3.9060280323028564,-3.471545696258545,-3.076998233795166,-2.7412960529327393,-2.463305711746216,-3.16015625,-2.045123815536499,-1.4761852025985718,-1.1124531030654907,-0.853165328502655,-0.6596880555152893,-0.5088064074516296,-0.37284499406814575,-0.2538308799266815,-0.13638533651828766
8352,Magazines costs $2.99 each and books costs $6.99 each at the Old Town Newsstand. What is the total cost of 4 magazines and 3 books?,$25.93,$32.93 ,$28.93 ,$30.93,$38.93,$42.93,$20.93 ,$45.93,$35.93,$48.93 ,B,1,math,ori_mmlu-elementary_mathematics,,test,-1.8256006240844727,-0.017898045334161495,-9.78125,-6.4285712242126465,-4.8742899894714355,-4.014583110809326,-3.4000823497772217,-3.055575370788574,-2.643779993057251,-2.3055663108825684,-2.039033889770508,-1.8260297775268555,-2.546875,-1.6537388563156128,-1.0536221265792847,-0.7365559935569763,-0.5374948382377625,-0.42140892148017883,-0.30181413888931274,-0.192626953125,-0.08517635613679886,0.027305200695991516
6035,"A 29-year-old male presents to the office with the complaints of a pounding heart, poor sleep, and a generalized feeling of restlessness. He relocated 2 months ago to take a promotion and has found himself unable to concentrate on his new duties. He worries about his ability to adapt to his increase in responsibility at work and states that he has called in sick 3 days within the past 2 weeks. The most likely diagnosis is",social anxiety disorder,adjustment disorder with anxious mood,post-traumatic stress disorder,panic disorder,dysthymia,obsessive-compulsive personality disorder,"major depressive disorder, single episode, moderate",bipolar disorder,generalized anxiety disorder,schizophrenia,B,1,health,ori_mmlu-professional_medicine,,test,-2.4221556186676025,-0.008839984009735775,-9.10763931274414,-7.228298664093018,-5.912615776062012,-5.013454914093018,-4.3260416984558105,-3.8068575859069824,-3.393601179122925,-3.028130531311035,-2.7166521549224854,-2.4212546348571777,-3.3333332538604736,-2.254340171813965,-1.6694154739379883,-1.2611050605773926,-0.977612316608429,-0.7547449469566345,-0.5826261043548584,-0.4436086118221283,-0.3215467631816864,-0.17421847581863403
1521,"A defendant, a nurse at a nursing home, is charged with murdering a resident at the home by adding an allegedly lethal substance to the resident's food. At trial, to prove that the substance added to the resident's food could result in death, the prosecutor, without first calling any witnesses, offers to read into evidence several pages from a standard medical treatise that support the prosecution's claim that the substance the defendant added to the food is lethal. Is the evidence offered admissible?","Yes, because the lethal nature of the substance is relevant to the defendant's state of mind and intent.","No, because the treatise must be confirmed by an expert in the field before being admissible.","Yes, because the treatise is a public document and therefore exempt from the hearsay rule.","No, because the treatise itself must be introduced as an exhibit.","Yes, because the prosecutor is allowed to introduce evidence without calling witnesses.","No, because the treatise excerpts are considered hearsay and do not qualify for an exception.","Yes, although hearsay, under the learned treatise exception to the hearsay rule.","Yes, because the prosecution is merely providing evidence that supports their claim.","No, because the treatise excerpts were not offered during the examination of a qualified expert.","No, because the substance's lethal nature is not relevant to the case.",I,8,law,ori_mmlu-professional_law,,test,-2.184107542037964,-0.008241915252973448,-7.503472328186035,-6.1085524559021,-5.1512274742126465,-4.453536033630371,-3.9334309101104736,-3.4849233627319336,-3.064657211303711,-2.7450144290924072,-2.437392234802246,-2.1855719089508057,-2.2439236640930176,-1.568873405456543,-1.1503382921218872,-0.8323332071304321,-0.6252899169921875,-0.48316285014152527,-0.3544083833694458,-0.25615811347961426,-0.16137410700321198,-0.06367238610982895
3590,"At 100°C and 720 mm Hg or 720 torr, what is the density of carbon dioxide, CO_2 ?",1.32 g/liter,1.15 g/liter,1.96 g/liter,2.5 g/liter,2.0 g/liter,1.5 g/liter,1.8 g/liter,0.56 g/liter,0.75 g/liter,1.0 g/liter,A,0,chemistry,stemez-Chemistry,,test,-1.8497906923294067,-0.02126196198079778,-7.90625,-5.872395992279053,-4.88194465637207,-4.02734375,-3.3310546875,-2.955592155456543,-2.6232244968414307,-2.347890615463257,-2.11181640625,-1.8495168685913086,-5.104166507720947,-3.6393229961395264,-2.621527671813965,-1.9908651113510132,-1.4525604248046875,-1.1593724489212036,-0.9300758838653564,-0.7528417706489563,-0.6032627820968628,-0.43349456787109375
9922,An astronaut is to be put into a circular orbit a distance of 1.6 × 10^5 m (about 100 miles) above the surface of the earth. The earth has a radius of 6.37 × 106m. and mass of 5.98 × 10^24 kg. What is the orbital speed?,8.01 × 10^3 m/sec,6.01 × 10^3 m/sec,9.01 × 10^3 m/sec,7.91 × 10^3 m/sec,7.51 × 10^3 m/sec,5.91 × 10^3 m/sec,8.91 × 10^3 m/sec,8.41 × 10^3 m/sec,7.01 × 10^3 m/sec,6.91 × 10^3 m/sec,D,3,physics,stemez-Physics,,test,-1.3372840881347656,-0.008154171269114425,-7.236607074737549,-5.070833206176758,-3.8814537525177,-3.143397092819214,-2.606370210647583,-2.218895435333252,-1.9134588241577148,-1.6766376495361328,-1.4884871244430542,-1.337754249572754,-16.36941909790039,-7.882226467132568,-5.140295505523682,-3.8013477325439453,-2.9962687492370605,-2.4479925632476807,-2.0454719066619873,-1.7331812381744385,-1.4793543815612793,-1.2520147562026978
1921,"A city imposes a municipal excise tax of $200 per year on commercial photographic studios in the city. It also imposes an excise tax of $100 per year on every itinerant commercial photographer for the privilege of using the streets and sidewalks. A credit is allowed against this latter tax for any excise tax paid to the city by the photographer or his employer in respect to the maintenance of a photographic studio in the city. In an action by a studio located in the city challenging the constitutionality of the $200 per year excise tax, the court will most likely declare the tax","unconstitutional, as an undue burden on interstate commerce.","unconstitutional, as a discriminatory tax on the privilege of doing business within the state.","constitutional, as it is within the city's rights to tax local businesses.","unconstitutional, as it infringes on the rights of local businesses.","constitutional, as it is a fair method of raising municipal revenue.","unconstitutional, as it is a form of double taxation.","constitutional, as within the powers of the state to tax the instruments of interstate commerce.","constitutional, as it is a reasonable exercise of the city's taxing power.","unconstitutional, as it unfairly targets a specific profession.","constitutional, as a nondiscriminatory license tax.",J,9,law,ori_mmlu-professional_law,,test,-1.914719581604004,-0.006694823711902112,-7.890625,-5.990234375,-4.84461784362793,-4.097818851470947,-3.507172107696533,-3.06640625,-2.7015624046325684,-2.3950045108795166,-2.14107084274292,-1.9134961366653442,-2.0729167461395264,-1.4063314199447632,-0.9788352251052856,-0.7196890711784363,-0.5230157375335693,-0.38318246603012085,-0.2685392498970032,-0.17277762293815613,-0.08803089708089828,-0.0005895895883440971
